,고객번호,성별,CAT연령대,지역,경쟁사이용횟수,채널이용횟수,멤버십가입개수,RECENCY6,RECENCY7,고객구분1_7,고객구분1_8,주말구매액비중,주말방문비중,선매품구매비중,편의품구매비중,전문품구매비중
42,44,F,노년층,서울,0,0,1,0,0,증가,증가,0.260086059,0.436619718,0.1546669533923275,0.09124483013631507,0.7540882164713575
43,45,F,노년층,경기,1,0,0,2,0,감소,증가,0.2453267,0.29105474,0.8962322219841016,0.07452905562391328,0.02923872239198519
44,46,F,노년층,서울,4,0,0,1,0,감소,감소,0.323917739,0.25,0.3214228994503318,0.14075708958686012,0.5378200109628081
45,47,F,노년층,서울,0,0,0,8,10,감소,감소,0.421069608,0.315236427,0.3084467470451693,0.6460928385367307,0.04546041441809996
46,48,F,노년층,인천,0,0,0,0,1,증가,증가,0.569831139,0.392803598,0.41863960745255346,0.4955416163101675,0.08581877623727903
47,49,F,노년층,서울,1,0,0,1,0,증가,감소,0.246543402,0.173020528,0.5574610530903238,0.24367604939796808,0.19886289751170816
48,50,F,노년층,서울,0,0,0,0,0,감소,감소,0.474847578,0.28101983,0.43587698473128467,0.5549316466584192,0.009191368610296086
49,51,F,노년층,인천,2,0,0,0,5,감소,감소,0.264887751,0.317705461,0.4493794819378796,0.5506205180621204,0.0
50,52,F,노년층,서울,0,0,0,0,0,감소,감소,0.378184185,0.28057554,0.42108007346055065,0.5094826147780539,0.06943731176139546
51,53,M,노년층,서울,3,0,0,0,0,감소,감소,0.199476154,0.24668435,0.7558260021258019,0.20422053913400845,0.039953458740189705
52,54,F,노년층,경기,12,0,0,0,0,감소,감소,0.279239468,0.269333333,0.10065848803939104,0.8946494210429017,0.004692090917707294
53,55,F,노년층,경기,0,0,0,0,2,증가,감소,0.23104777,0.279581152,0.11869981424752887,0.8813001857524712,0.0
54,56,F,노년층,경기,2,0,0,0,0,감소,감소,0.322598516,0.280678851,0.5905774591442509,0.11645775081602514,0.29296479003972403
55,57,F,노년층,경기,0,0,0,0,0,증가,감소,0.173554669,0.206810215,0.040939052215926634,0.9563019906118012,0.00275895717227219
56,58,F,노년층,서울,0,0,0,0,0,감소,증가,0.563920141,0.512944984,0.5636916740874341,0.3600351521942223,0.0762731737183436
57,59,F,노년층,서울,1,0,0,1,5,감소,감소,0.514997973,0.344418052,0.5327876968991393,0.43811936236483173,0.029092940736028992
58,60,F,노년층,서울,1,0,0,1,0,증가,증가,0.477539539,0.278455285,0.23768206634698053,0.7623179336530195,0.0
59,61,F,노년층,서울,3,0,1,1,7,감소,감소,0.160695675,0.211730205,0.34289540106388006,0.6308741536958139,0.026230445240306065
60,62,F,노년층,부산,6,0,0,1,2,증가,증가,0.380272861,0.364197531,0.5457344476520112,0.44929985015096774,0.004965702197021127
61,63,F,노년층,경기,0,0,0,2,0,증가,증가,0.229058979,0.287337662,0.16808234138879796,0.831917658611202,0.0
62,64,M,노년층,경기,0,0,0,7,8,감소,감소,0.229093909,0.207570208,0.037641620105713244,0.9623583798942867,0.0
63,65,F,노년층,서울,2,0,1,0,5,감소,증가,0.22588417,0.272519954,0.455326235867339,0.5178802633560086,0.026793500776652417
64,66,F,노년층,서울,0,0,0,0,0,감소,감소,0.241380045,0.273831776,0.24230384668356839,0.7576961533164316,0.0
65,67,F,노년층,서울,0,0,0,0,0,증가,증가,0.160367799,0.176440849,0.07706171278899422,0.9229382872110058,0.0
66,68,M,노년층,경기,1,0,0,0,4,감소,감소,0.256463356,0.196855346,0.8902263765990035,0.0403403703135187,0.0694332530874778
67,69,F,노년층,경기,0,0,1,0,0,증가,증가,0.221281657,0.213140197,0.009033455821875404,0.9909665441781246,0.0
68,70,M,노년층,서울,33,0,0,17,0,감소,감소,0.242727561,0.324074074,0.4790733513217589,0.13786891996018133,0.38305772871805976
69,71,F,노년층,서울,0,0,0,0,1,증가,감소,0.200311819,0.200359389,0.03549402698803218,0.9645059730119678,0.0
70,72,F,노년층,경기,0,0,0,0,5,증가,증가,0.343306591,0.353055286,0.30170301924104564,0.6982969807589543,0.0
71,73,F,노년층,부산,0,0,0,5,0,감소,감소,0.577478926,0.494488189,0.3215854088817139,0.06627765929450095,0.6121369318237851
72,74,F,노년층,서울,3,42,0,12,5,감소,감소,0.147804639,0.12516469,0.658785665829892,0.2666330081061902,0.07458132606391792
73,75,M,노년층,서울,0,0,0,4,0,증가,증가,0.227026698,0.233009709,0.06251014554965344,0.9374898544503466,0.0
74,76,F,노년층,경기,0,0,1,2,0,증가,증가,0.618683562,0.472372698,0.5199254172534884,0.4584712819578036,0.02160330078870798
75,77,F,노년층,부산,13,0,0,4,0,감소,증가,0.0300065182,0.0256410256,0.4720851721966182,0.485481531728776,0.04243329607460579
76,78,F,노년층,경기,0,0,0,1,5,증가,감소,0.35904482,0.305150632,0.683314707592909,0.18883659915066278,0.1278486932564282
77,79,F,노년층,서울,5,0,1,0,1,증가,감소,0.164061052,0.128937008,0.16993905900024717,0.8300609409997528,0.0
78,80,F,노년층,서울,0,0,0,1,0,증가,증가,0.388800476,0.287761194,0.2018150861463003,0.7981849138536997,0.0
79,81,F,노년층,서울,0,0,0,0,0,증가,감소,0.50802115,0.33081761,0.7075761362164631,0.22636146136694635,0.06606240241659057
80,82,F,노년층,서울,0,0,0,1,0,증가,증가,0.229886362,0.284868977,0.7286141511830949,0.10046883416906918,0.17091701464783587
81,83,F,노년층,서울,1,0,1,0,14,증가,증가,0.309959842,0.31344697,0.7769182220383615,0.2128364245419222,0.01024535341971637
82,84,F,노년층,경기,0,0,0,1,7,감소,감소,0.396283337,0.334661355,0.7903491032478508,0.12132756949572218,0.088323327256427
83,85,F,노년층,경기,6,0,0,1,0,증가,증가,0.504180331,0.411630559,0.19367045911458536,0.8063295408854146,0.0
84,86,F,노년층,경기,0,0,0,0,6,증가,증가,0.426502765,0.380721831,0.40815384634972046,0.5908912663460791,0.0009548873042003582
85,87,M,노년층,서울,1,0,1,1,2,감소,감소,0.369722265,0.518716578,0.788486542678247,0.14096060427466706,0.07055285304708589
86,88,F,노년층,서울,14,0,0,0,1,증가,증가,0.672714829,0.456117021,0.6052060394207481,0.36719870836320007,0.02759525221605184
87,89,F,노년층,서울,4,0,0,1,1,증가,증가,0.278502521,0.267874633,0.3090028844844789,0.6909971155155211,0.0
88,90,F,노년층,서울,1,0,0,1,0,증가,증가,0.457975251,0.357933579,0.7378754105013025,0.2621245894986975,0.0
89,91,F,노년층,경기,0,0,0,0,0,증가,감소,0.090480009,0.172077922,0.12364442128446573,0.8763555787155343,0.0
90,92,F,노년층,경기,0,0,0,3,2,증가,증가,0.235158983,0.345596433,0.5222547389442381,0.4677459327650099,0.009999328290751966
91,93,F,노년층,부산,1,0,0,2,0,증가,증가,0.320412842,0.261813538,0.7047412357202997,0.09658376760259546,0.1986749966771048
92,94,F,노년층,경기,0,14,1,1,0,증가,증가,0.15965514,0.331046312,0.29196512997287044,0.5781151122128712,0.12991975781425846
93,95,M,노년층,경기,0,0,0,1,1,증가,감소,0.380831948,0.302163833,0.25161164834466615,0.7421098953368774,0.006278456318456364
94,96,F,노년층,서울,1,0,1,5,5,감소,감소,0.508360134,0.320053121,0.29940248870987923,0.6829598666746963,0.01763764461542446
95,97,M,노년층,경북,0,0,0,1,0,감소,감소,0.379336805,0.402939375,0.8692736507754786,0.12069086272420008,0.0100354865003213
96,98,F,노년층,서울,0,0,1,1,0,증가,감소,0.380074941,0.339646465,0.23424423707757433,0.6878718862165795,0.07788387670584618
97,99,F,노년층,경기,0,0,1,1,2,증가,증가,0.255115425,0.229893778,0.46416437447466524,0.07455551723252338,0.4612801082928114
98,100,F,노년층,서울,0,0,1,4,2,증가,감소,0.236004579,0.316931983,0.44952712122937516,0.542162133389725,0.008310745380899875
99,101,F,노년층,서울,5,0,1,3,0,감소,감소,0.414103276,0.296728972,0.15583961424102635,0.8441603857589737,0.0
100,102,F,노년층,서울,13,0,0,3,4,감소,감소,0.365673541,0.185703758,0.2901516537297209,0.2801666230091296,0.4296817232611495
101,103,F,노년층,서울,0,0,0,1,4,증가,감소,0.242817168,0.258028793,0.060327141856110066,0.9396728581438899,0.0
102,104,F,노년층,서울,0,0,0,1,0,증가,감소,0.381888028,0.318254604,0.12130957994114747,0.8786904200588526,0.0
103,105,M,노년층,경기,0,0,0,1,0,증가,감소,0.243599974,0.234947368,0.15634343617437513,0.8436565638256248,0.0
104,106,F,노년층,경기,0,0,0,2,1,감소,증가,0.303430434,0.254129606,0.8468160990946704,0.14059546903170633,0.012588431873623306
105,107,F,노년층,서울,2,0,0,0,7,증가,증가,0.264213153,0.331747919,0.9267231648476996,0.07327683515230046,0.0
106,108,F,노년층,서울,0,0,0,1,1,증가,증가,0.333199075,0.303482587,0.4990034831022472,0.4959601393240899,0.005036377573662905
107,109,F,노년층,경기,0,0,0,2,0,감소,감소,0.232675529,0.292265572,0.21728996357422578,0.7827100364257742,0.0
108,110,M,노년층,서울,2,0,0,0,0,증가,감소,0.625526435,0.529535865,0.44476541597039326,0.5552345840296068,0.0
109,111,F,노년층,부산,0,0,0,0,1,감소,감소,0.336346515,0.309114085,0.032333525117401264,0.9676664748825987,0.0
110,112,F,노년층,인천,6,17,1,1,0,증가,증가,0.307626166,0.295774648,0.8080534802223319,0.1919465197776681,0.0
111,113,F,노년층,서울,9,0,0,0,0,감소,감소,0.291953826,0.291716687,0.5393889619935693,0.2780569351518554,0.1825541028545752
112,114,F,노년층,경기,2,0,0,0,0,감소,감소,0.435886023,0.284132841,0.6300518145104106,0.35004764391832305,0.019900541571266393
113,115,F,노년층,서울,10,0,0,1,0,증가,증가,0.440050882,0.324915825,0.3665665169417665,0.24338665911911184,0.39004682393912166
114,116,F,노년층,서울,0,0,0,0,0,감소,감소,0.270756595,0.200684151,0.13154806096100982,0.8684519390389902,0.0
115,117,F,노년층,서울,2,0,1,2,0,감소,감소,0.354088417,0.243181818,0.41482141942713247,0.4844560114411521,0.1007225691317155
116,118,F,노년층,부산,2,0,0,3,0,증가,증가,0.314004714,0.276685393,0.7229551310844277,0.21802037956587636,0.05902448934969597
117,119,M,노년층,대구,3,0,0,3,1,증가,감소,0.348034888,0.284693878,0.62221201086047,0.18797191158931337,0.18981607755021668
118,120,F,노년층,서울,0,0,0,1,0,감소,감소,0.20966559,0.226689478,0.9599262149620567,0.030470562636569755,0.009603222401373615
119,121,F,노년층,부산,4,0,0,1,0,감소,증가,0.361851408,0.267108168,0.3851662468168264,0.584560422287614,0.030273330895559693
120,122,F,노년층,서울,0,27,0,1,0,증가,증가,0.383015216,0.424342105,0.6426576510363076,0.352901700493367,0.004440648470325468
121,123,F,노년층,서울,0,10,0,1,4,감소,감소,0.324617398,0.282918149,0.08478861537326741,0.9152113846267326,0.0
122,124,F,노년층,서울,0,0,0,1,7,감소,증가,0.511537925,0.557833089,0.8231635739476346,0.13141034579801786,0.04542608025434751
123,125,F,노년층,서울,0,0,1,3,7,감소,감소,0.503118436,0.383529412,0.3003193309089293,0.6027070617360958,0.09697360735497494
124,126,F,노년층,서울,0,0,0,0,1,감소,증가,0.282861594,0.264857881,0.6614897769044707,0.30201158506184017,0.03649863803368907
125,127,F,노년층,부산,1,0,0,3,2,감소,증가,0.178383019,0.200906344,0.20613926703601904,0.7897843064325729,0.004076426531408023
126,128,F,노년층,서울,0,0,0,0,1,증가,감소,0.229689929,0.274780427,0.2333522468198621,0.7666477531801379,0.0
127,129,F,노년층,대전,0,8,0,0,0,증가,증가,0.26932309,0.27833002,0.07584129489880417,0.9241587051011958,0.0
128,130,F,노년층,서울,3,0,0,3,8,감소,감소,0.506456446,0.494318182,0.5714338637886605,0.38505826654971587,0.04350786966162362
129,131,F,노년층,서울,0,0,1,0,0,증가,감소,0.499847787,0.367567568,0.3852885100318699,0.5878848954483287,0.026826594519801367
130,132,F,노년층,경기,11,0,0,3,6,감소,감소,0.359844475,0.340946166,0.19849257592531291,0.8015074240746871,0.0
131,133,M,노년층,경기,0,0,0,0,0,증가,증가,0.0700639742,0.0900163666,0.370405850479795,0.6221933683726238,0.007400781147581192
132,134,F,노년층,경기,1,0,0,2,0,감소,감소,0.440092532,0.333757962,0.557319597050867,0.14252243377456378,0.3001579691745692
133,135,F,노년층,경기,0,0,0,2,0,증가,감소,0.190282486,0.327195467,0.5728036354193237,0.42719636458067634,0.0
134,136,F,노년층,경기,10,0,1,5,7,증가,증가,0.544597289,0.513914657,0.7321611166768748,0.2678388833231252,0.0
135,137,F,노년층,서울,0,0,0,1,0,증가,증가,0.431336803,0.265144864,0.25706536184632467,0.109645520828597,0.6332891173250783
136,138,M,노년층,경남,1,4,1,3,0,감소,증가,0.369548704,0.332994924,0.4606985180824001,0.42619516337046137,0.11310631854713854
137,139,M,노년층,서울,6,0,0,1,0,증가,감소,0.179073104,0.23649635,0.4765155818350712,0.42141427294842143,0.10207014521650737
138,140,F,노년층,서울,0,0,0,0,2,증가,감소,0.293360854,0.373165618,0.08410401862913794,0.238220223390529,0.6776757579803331
139,141,F,노년층,서울,0,0,0,0,0,증가,증가,0.136468942,0.152479645,0.005828655230359384,0.9941713447696406,0.0
140,143,F,노년층,서울,0,0,0,2,1,증가,증가,0.810216879,0.831064356,0.075869945308875,0.924130054691125,0.0
141,144,F,노년층,서울,0,0,0,0,7,감소,감소,0.0239630769,0.0364399664,0.1532618509496338,0.8348425053773717,0.01189564367299456
142,145,F,노년층,서울,0,0,0,4,1,증가,증가,0.534206144,0.638513514,0.6219363540840921,0.15661400521341734,0.2214496407024906
143,146,F,노년층,부산,0,0,0,0,0,감소,감소,0.314524485,0.20242915,0.2921863693140691,0.08612737291763513,0.6216862577682958
144,147,M,노년층,경남,1,0,0,1,0,감소,감소,0.199305517,0.0510827318,0.3883913311898622,0.21529610251537715,0.39631256629476064
145,148,F,노년층,서울,10,0,0,1,0,증가,증가,0.221162292,0.242550243,0.020119669677381095,0.9798803303226189,0.0
146,149,F,노년층,서울,13,0,0,0,0,감소,증가,0.335631673,0.275119617,0.41771993590693574,0.5162836726911135,0.06599639140195075
147,150,F,노년층,서울,0,0,0,0,5,감소,감소,0.246097397,0.320257611,0.6373888807538093,0.35409259402461035,0.008518525221580373
148,151,M,노년층,서울,0,0,0,6,5,증가,증가,0.632587673,0.292805755,0.6675949236311756,0.20949862953889442,0.12290644682993004
149,152,F,노년층,서울,1,0,0,0,7,감소,감소,0.528781502,0.358862144,0.66502935007805,0.3171769560688348,0.01779369385311522
150,153,F,노년층,서울,0,0,0,0,0,감소,감소,0.161796215,0.23605948,0.480954448959521,0.519045551040479,0.0
151,154,M,노년층,부산,12,0,0,0,0,감소,감소,0.871532739,0.453024453,0.12165038026453266,0.2001897436245636,0.6781598761109038
152,155,M,노년층,광주,12,0,0,4,2,증가,감소,0.35514387,0.277033986,0.5943000937701801,0.3904010051850186,0.01529890104480129
153,156,F,노년층,대전,0,0,0,3,1,감소,증가,0.421357448,0.452932099,0.7413011526190876,0.24258520448684684,0.016113642894065538
154,157,F,노년층,서울,6,0,0,0,0,증가,증가,0.514304184,0.220081136,0.4981624228534177,0.47493547043479767,0.0269021067117846
155,158,M,노년층,부산,0,0,1,0,0,증가,증가,0.272315403,0.317636986,0.06406179502565439,0.9359382049743457,0.0
156,159,F,노년층,부산,1,0,0,5,5,감소,증가,0.242420521,0.184375,0.7775224717386988,0.05726996340899172,0.1652075648523095
157,160,F,노년층,경기,0,0,0,1,0,감소,감소,0.138120196,0.201780415,0.28549888360623854,0.6981949527418394,0.016306163651922077
158,161,F,노년층,경기,3,0,1,26,5,감소,감소,0.360173924,0.332428765,0.6775678443813565,0.12442326882242206,0.1980088867962214
159,162,F,노년층,대전,1,0,0,0,1,증가,증가,0.155283534,0.366507177,0.7547764036408117,0.2008665709507993,0.044357025408389046
160,163,F,노년층,서울,5,0,0,1,1,증가,감소,0.44159503,0.330524951,0.1370753265283991,0.862924673471601,0.0
161,164,M,노년층,서울,0,0,0,0,0,감소,감소,0.395074195,0.119873817,0.1954407354745818,0.17481368512015358,0.6297455794052647
162,165,M,노년층,경기,0,0,0,5,0,증가,증가,0.433916301,0.357976654,0.8290496549669666,0.15152202586620833,0.019428319166825088
163,166,M,노년층,경기,32,0,1,1,5,증가,증가,0.471062003,0.401559454,0.6353450677487172,0.36378343534204655,0.0008714969092362114
164,167,F,노년층,경기,0,0,0,2,1,증가,감소,0.277544462,0.238900634,0.5135226410461283,0.37407147121789497,0.1124058877359767
165,168,F,노년층,서울,0,0,0,1,7,감소,증가,0.409911118,0.267361111,0.7677839468462331,0.20292591630963752,0.029290136844129424
166,169,F,노년층,인천,0,0,0,1,0,증가,감소,0.226115069,0.187122736,0.33223596411732487,0.64614696203887,0.021617073843805148
167,170,F,노년층,부산,0,0,0,5,1,증가,증가,0.16696325,0.167621031,0.0688891922225045,0.9311108077774954,0.0
168,171,F,노년층,서울,1,0,0,0,0,증가,증가,0.473692311,0.245259166,0.5724278735519865,0.4213393787464712,0.006232747701542235
169,172,F,노년층,서울,0,0,1,6,5,증가,감소,0.169658288,0.154539155,0.14983669339117736,0.8501633066088227,0.0
170,173,F,노년층,경기,9,0,0,1,0,증가,증가,0.268943018,0.283100626,0.28072145995726067,0.7168818339296625,0.0023967061130767604
171,175,F,노년층,서울,0,0,0,1,1,증가,증가,0.059368324,0.0726291762,0.18934852927502624,0.8106514707249738,0.0
172,176,F,노년층,서울,11,0,0,1,4,감소,감소,0.278996226,0.280806572,0.19216658799419956,0.8078334120058005,0.0
173,177,F,노년층,경기,0,0,0,1,2,감소,증가,0.246621949,0.256097561,0.6866676105054575,0.31249208223140507,0.0008403072631373265
174,178,F,노년층,서울,0,0,0,0,0,감소,감소,0.1569251,0.179278822,0.31646447046427384,0.6688491683601568,0.014686361175569287
175,179,F,노년층,경기,14,0,0,2,0,감소,감소,0.433462131,0.46386786,0.42701615031813117,0.5664408812587438,0.006542968423125051
176,180,F,노년층,서울,1,0,0,2,5,감소,증가,0.304897625,0.306179775,0.057367302328917805,0.6983310986295669,0.2443015990415153
177,181,F,노년층,부산,3,0,0,2,5,증가,증가,0.158801672,0.208017335,0.6235468190724004,0.2619832470127665,0.11446993391483314
178,182,F,노년층,부산,0,0,0,0,1,증가,증가,0.191971603,0.136658031,0.520668800142805,0.43871299367427313,0.04061820618292181
179,183,F,노년층,경기,2,0,0,0,1,감소,감소,0.336853222,0.275505811,0.12696744557073233,0.8730325544292676,0.0
180,184,F,노년층,경기,0,0,0,2,2,감소,감소,0.335734092,0.370731707,0.6654604861991501,0.24770340687574705,0.08683610692510282
181,185,F,노년층,경기,0,0,1,2,4,증가,증가,0.370510002,0.34038055,0.09913721263493323,0.9008627873650668,0.0
182,186,F,노년층,서울,0,0,0,5,2,감소,감소,0.331680007,0.227936067,0.4609326480228032,0.4642844220280177,0.0747829299491791
183,187,F,노년층,부산,0,0,1,2,1,감소,감소,0.317160302,0.313787639,0.6297251834254961,0.33219967160661235,0.03807514496789162
184,188,F,노년층,서울,11,0,0,0,4,증가,증가,0.23257869,0.177854454,0.047286653304532335,0.9527133466954677,0.0
185,189,F,노년층,경기,2,0,0,0,6,증가,증가,0.337714977,0.175287356,0.5936440747079323,0.37259786885335033,0.0337580564387173
186,190,M,노년층,경기,0,0,1,0,5,감소,증가,0.601762327,0.525185797,0.4240643208303584,0.5038318346067875,0.07210384456285408
187,191,F,노년층,서울,1,0,1,0,1,증가,감소,0.389933604,0.407480315,0.8158594899814183,0.0940537573824239,0.0900867526361578
188,192,F,노년층,서울,0,0,1,0,0,증가,증가,0.124330534,0.262169086,0.09956551070992024,0.4048878281496354,0.4955466611404443
189,193,F,노년층,서울,1,2,1,3,0,증가,증가,0.187780858,0.18988219,0.1332563499479282,0.8667436500520718,0.0
190,194,F,노년층,서울,0,0,1,0,0,증가,감소,0.267199724,0.206679574,0.34497414282024796,0.6517173239498038,0.0033085332299482868
191,195,M,노년층,경기,3,0,1,1,5,증가,감소,0.22461752,0.231604343,0.3382135103351576,0.6617864896648423,0.0
192,196,F,노년층,서울,0,0,0,7,1,증가,증가,0.236931367,0.260957519,0.5835916778315884,0.4136871172526342,0.002721204915777397
193,197,F,노년층,서울,1,0,0,0,2,증가,증가,0.375237371,0.238841034,0.8671457958580223,0.13091243825569754,0.0019417658862802036
194,198,F,노년층,부산,0,3,1,1,0,증가,증가,0.250007036,0.268221574,0.5357624383612446,0.43794953383099466,0.026288027807760767
195,199,F,노년층,대구,0,0,1,1,1,증가,증가,0.388525396,0.286706349,0.3654453912126817,0.6230608005888933,0.011493808198424915
196,200,F,노년층,인천,0,0,0,0,1,감소,감소,0.472075733,0.290990991,0.2680137610420237,0.7319862389579763,0.0
197,201,F,노년층,서울,5,0,0,1,0,증가,감소,0.393661328,0.41001065,0.5884674719631001,0.37501156497163735,0.03652096306526254
198,202,F,노년층,서울,0,0,0,0,0,증가,증가,0.270988561,0.156113537,0.6400724833379315,0.2770435631622576,0.0828839534998109
199,203,F,노년층,경기,0,0,0,0,1,증가,감소,0.425978347,0.415549598,0.20961192112660404,0.7903880788733959,0.0
200,204,F,노년층,광주,0,0,1,0,1,증가,감소,0.206737896,0.203003337,0.6479945588677145,0.3520054411322855,0.0
201,205,F,노년층,서울,0,4,1,0,1,감소,감소,0.412034783,0.232425586,0.39791040381582593,0.602089596184174,0.0
202,206,M,노년층,경기,4,8,0,2,0,증가,증가,0.336684115,0.271760155,0.2453849871182856,0.7465021703975838,0.00811284248413054
203,207,F,노년층,서울,5,0,1,1,4,증가,감소,0.135051544,0.126009693,0.07626009275433468,0.9237399072456653,0.0
204,208,F,노년층,경기,0,0,0,32,24,감소,감소,0.660225091,0.52027027,0.6332342979821428,0.062130756322843456,0.3046349456950137
205,209,F,노년층,서울,8,0,0,0,0,감소,감소,0.244855955,0.265973254,0.7025170712890602,0.24458841336656345,0.052894515344376336
206,210,F,노년층,인천,0,5,0,0,4,증가,증가,0.495844677,0.394642857,0.14148524360176676,0.8585147563982333,0.0
