"생산작업지시구분(생산:A,생산제외:D)","사업단위(평택:20000,태안:60000등)",작업지시타입(일반:WO/재투입:WR),작업공정정보(PCW11/PCW12),생산작업요청일자,장소정보,LOT번호,분할순번,제품코드,제품BOM차수,제품명,"생산작업지시순번(일련번호(1,2,3,4…))",LOT생산요청총중량ⓐ,LOT실수량ⓑ,LOT실중량ⓒ,작업지시및주문비고사항1,작업지시및주문비고사항2,시방적요,생산단위,작업지시구분(D:내수/E:수출),생산제조일자,비고
A,20000,WO,PCW12,2021-02-22,3,HR1021022226,0,PEMA013078018,14,PEMA-HR1000 한라(원주),2,10000,1,10000,"fa용
ae제2%
pc소포제1캔",,백두,KG,D,,
A,20000,WO,PCW12,2021-02-22,3,HR1021022227,0,PEMA013060901,23,PEMA-HR1000 일양(양양),1,10000,1,10000,일찍X,,백두,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022229,0,PEMA013046900,86,PEMA-HR1000 신진(대구),4,10000,1,10000,전과동일,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022231,0,PEMA013058613,18,PEMA-HR1000 유진(천안),5,5000,1,5000,AE제 4.0% 타입으로 부탁,,고형분 16%이상 요청  자체 감수율 시험 한다고 함,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022233,0,PEMA013125500,18,PEMA-HR1000 명진(논산),7,10000,1,10000,전과동일,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022236,0,PEMA023046501,178,PEMA-HR1000 신일(아산),10,10000,1,10000,"FA용
공기량 1% 하향 ( 재고 3톤 )",,PC소포제 2캔,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022237,0,PEMA033046500,390,PEMA-HR1000 신일(송파),11,5000,1,5000,.,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022241,0,PEMA223048300,54,PEMA-HR1000 서원(태안),15,7000,1,7000,"공기량 2% 상향
하역전 실장님 통화요청",,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022243,0,PEMA013105210,106,PEMA-HR1000 삼우(대구),1,9000,1,9000,전과동일 pc소포제 1캔,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1521022213,0,PEMA023080800,5,PEMA-HR1500 한진(김해),1,10000,1,10000,"공기량 1.5프로 하향
강도신경쓸것",,장충용,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1521022217,0,PEMA023092101,7,PEMA-HR1500 도현(양산),1,7000,1,7000,OPC용 AE제2%   PC소포제 2통 시간엄수,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1521022219,0,PEMA033030500,318,PEMA-HR1500 부산(부산),1,12000,1,12000,공기량1%하향,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1521022239,0,PEMA053046500,239,PEMA-HR1500 신일(송파),13,5000,1,5000,외부계근할것  pc소포제3캔상차,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-21,3,PEMA210223,0,PCA021027605,4,ARE-580FX (50%) 크로아티아 P,1,12100,1,12100,,,,KG,D,,
A,20000,WO,PCW12,2021-02-22,3,PR1021022210,0,PEMA023129801,21,PEMA-PR1000 삼일(충주),2,3000,1,3000,필요사항 없음,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,PR1021022210,1,PEMA023129801,21,PEMA-PR1000 삼일(충주),1,22000,1,22000,필요사항 없음,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,PR1021022234,0,PEMA013901520,166,PEMA-PR1000 동양파일(아산),8,20000,1,20000,"전과동일
샘플통 1리터 요청",,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR2021022214,0,PEMA033078017,4,PEMA-SR2000 한라(온산),2,5000,1,5000,대우LNG용 이현구과장 통화 하차전이송작업2톤,,신우에이엔씨 수수료,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR2021022221,0,PEMA043080500,3,PEMA-SR2000 한진(울산),3,5000,1,5000,케이슨용 이현구과장 통화,,신우에이엔씨 수수료,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR2021022222,0,PEMA043080500,4,PEMA-SR2000 한진(울산),4,2000,1,2000,대우LNG용 이현구과장 통화,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR2021022238,0,PEMA043062000,18,PEMA-SR2000 정선(광주),12,6000,1,6000,"AE제 5.7% 타입
1번탱크 입고",,PC소포제 2캔 ( 시험실 요청 ),KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR3F21022220,0,PEMA063030500,178,PEMA-SR3000F 부산(부산),2,3000,1,3000,전과동일 PC소포제4캔,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,SR3F21022235,0,PEMA023030801,13,PEMA-SR3000F 부일(회동동),9,6000,1,6000,AE제0.25%조정 5번탱크하차 시간엄수,,부일화학 수수료 PC소포제2캔,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-23,3,500F21022309,0,PEMA023058600,511,PEMA-500FR 유진(강서),2,15000,1,15000,500FR 15TON 도착도로 보내주세요,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,580F21022311,0,PEMA073050413,64,PEMA-580FX 아주(가좌),1,15000,1,15000,,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,580F21022312,0,PEMA013099150,93,PEMA-580FX 쌍용(부천),1,20000,1,20000,2/24 수 580FX 20톤,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CR1021022315,0,PEMA023123000,37,PEMA-CR1000 신공항(인천),2,3000,1,3000,김승환차장통화후배합끊을것,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CR1021022316,0,PEMA023123000,36,PEMA-CR1000 신공항(인천),1,7000,1,7000,.,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA421022326,0,PEMA013046500,376,CSA4000 신일(송파),2,5000,1,5000,.,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA521022310,0,PEMA023052200,23,PEMA-CSA5000 영남(포항),1,10000,1,10000,당일,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA521022324,0,PEMA553048200,43,CSA5000 신우(경주),1,10000,1,10000,*바닥강화제2캔 꼭 상차,,신우a&c 수수료,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA521022334,0,PEMA013111300,35,CSA5000 대원(청주),2,10000,1,10000,배합 배호재과장 ae제 3통 소포제 1통,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA521022335,0,PEMA023035315,36,CSA5000 삼표(오산),5,8000,1,8000,필요사항 없음,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,CSA521022342,0,PEMA023001000,81,CSA5000 강원(인천),6,10000,1,10000,fa용 시간엄수 성적서에조강형첨가표기 pc소포제3캔상차,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022228,0,PEMA013039505,30,PEMA-HR1000 선일(수원),7,7000,1,7000,전과동일,,백두,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-22,3,HR1021022230,0,PEMA013049304,66,PEMA-HR1000 아세아(용인),1,10000,1,10000,전과동일,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-22,3,HR1021022244,0,PEMA013010100,195,PEMA-HR1000 남성(화성),2,10000,1,10000,"전과동일
PC소포제3캔 상차",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-22,3,HR1021022245,0,PEMA013041507,11,PEMA-HR1000 성진도시(화성) 구. 성진 서수원,3,7000,1,7000,시간엄수  서수원공장,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-22,3,HR1021022246,0,PEMA013099140,39,PEMA-HR1000 쌍용(평택),4,3000,1,3000,"OPC용 3톤
FA용 7톤
서류는 FA용 10톤",,PC소포제 2캔,KG,D,2021-02-23,
A,20000,WR,PCW12,2021-02-23,3,HR1021022247,0,PEMA013099140,40,PEMA-HR1000 쌍용(평택),6,7000,1,7000,"OPC용 3톤
FA용 7톤
서류는 FA용 10톤",,PC소포제 2캔,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-22,3,HR1021022248,0,PEMA033088300,539,PEMA-HR1000 성진(안양),5,10000,1,10000,Ae2.0 (ad2),,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022314,0,PEMA623022500,45,PEMA-HR1000 대아(함안),1,10000,1,10000,"fa용 
에이제 4.5%",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022322,0,PEMA043101200,179,PEMA-HR1000 영진(칠곡),1,10000,1,10000,"opc용
자차배차
시간정확히",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022323,0,PEMA013125010,6,PEMA-HR1000 디엘이앤씨(포항),2,5000,1,5000,공기량1% 하향(8%),,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022325,0,PEMA153001100,84,PEMA-HR1000 우성(강릉),1,5000,1,5000,"플라이애시용
안윤광차장통화",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022327,0,PEMA033046500,391,PEMA-HR1000 신일(송파),3,10000,1,10000,외부계근할것  pc소포제3캔상차,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022328,0,PEMA013017400,70,PEMA-HR1000 대원(군산한전주),4,5000,1,5000,혼화제 조정,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022331,0,PEMA013005900,5,PEMA-HR1000 구례(구례),1,10000,1,10000,혼화제 조정,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022332,0,PEMA013072100,180,PEMA-HR1000 태명실업(이천),2,8000,1,8000,"플라이애시용
PC소포제 3통",,"샘플병 1리터요청
입고시험 1시간소요",KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022333,0,PEMA013089230,57,PEMA-HR1000 고려(서인천),2,10000,1,10000,pc소포제1캔상차,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022336,0,PEMA023061900,40,PEMA-HR1000 정도(울진),3,8000,1,8000,공기량 3%하향(7%),,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022338,0,PEMA033041500,228,PEMA-HR1000 성진(동탄),8,10000,1,10000,"AE제8.0%
PC소포제3통",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022340,0,PEMA043001100,46,PEMA-HR1000 대신(동해),5,10000,1,10000,3성분계용,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1021022341,0,PEMA213048300,152,PEMA-HR1000 서우(서산),9,8000,1,8000,실장님 통화요청,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022313,0,PEMA023022400,76,PEMA-HR1500 동아(함안),1,10000,1,10000,감수율 상향,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022317,0,PEMA053031200,35,PEMA-HR1500 산양(진해),1,10000,1,10000,AE제2%타입,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022319,0,PEMA033002600,97,PEMA-HR1500 경동(부산),3,4000,1,4000,FA10%타입 2번탱크하차 PC소포제4캔 시간엄수,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022329,0,PEMA043011800,9,PEMA-HR1500 대경(순천),1,10000,1,10000,혼화제 조정 김지태대리 PC유동화제 3캔상차,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022330,0,PEMA063048100,63,PEMA-HR1500 구암(담양),2,2000,1,2000,곰보현상 혼화제조정,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022345,0,PEMA013046101,108,PEMA-HR1500 신우(울산),10,4000,1,4000,이현구과장 통화,,충 수수료,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,HR1521022346,0,PEMA013046101,107,PEMA-HR1500 신우(울산),11,4000,1,4000,이현구과장 통화 하차전이송작업3톤 PC유동화제4캔,,신우에이엔씨 수수료  시간엄수,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SP1021022343,0,TSN4012001214,30,PEMA-SN400 구산(하남),9,10000,1,10000,,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SP1021022344,0,TSN4012043602,3,PEMA-SN400 청명(용인),11,10000,1,10000,,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR2021022320,0,PEMA043091500,26,PEMA-SR2000 울산(울산),2,2000,1,2000,대우건설 LNG용 이현구과장 통화,,백두케미칼수수료,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR2021022321,0,PEMA043091500,25,PEMA-SR2000 울산(울산),3,10000,1,10000,케이슨용 전과동일,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR2021022347,0,PEMA043046101,24,PEMA-SR2000 신우(울산),12,3000,1,3000,초평탄콘크리트용 이현구과장 통화,,신우에이엔씨 수수료,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR2021022348,0,PEMA043046101,25,PEMA-SR2000 신우(울산),13,3000,1,3000,초평탄콘크리트용 이현구과장 통화 PC소포제2캔,,충 수수료,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR2A21022337,0,PEMA023117801,3,PEMA-SR2000A 에스피(광주),4,5000,1,5000,"전과동일
샘플병 1리터 요청",,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR3F21022308,0,PEMA013081906,2,PEMA-SR3000F 현대(서울),1,3000,1,3000,.,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR3F21022318,0,PEMA023002600,93,PEMA-SR3000F 경동(부산),2,5000,1,5000,전과동일 4번탱크하차,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-23,3,SR3F21022339,0,PEMA033041501,26,PEMA-SR3000F 성진(인천),6,5000,1,5000,플로우용,,,KG,D,2021-02-23,
A,20000,WO,PCW12,2021-02-24,3,500F21022404,0,PEMA023058600,512,PEMA-500FR 유진(강서),1,23000,1,23000,500FR 25톤 4-5시 상차 부탁드려요,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,500F21022404,1,PEMA023058600,512,PEMA-500FR 유진(강서),2,2000,1,2000,500FR 25톤 4-5시 상차 부탁드려요,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,580F21022409,0,PEMA033103000,18,PEMA-580FX 미래(담양),1,15000,1,15000,시간엄수,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,CSA421022431,0,PEMA033030400,254,CSA4000 부국(대전),3,7000,1,7000,전과동일,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,CSA521022349,0,PEMA823048300,61,CSA5000 한선(당진),1,10000,1,10000,"전과동일
PC소포제 10캔 ( 판매용 )",,PC소포제 송장 이멜요청,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,CSA521022424,0,PEMA103048200,26,CSA5000 흥진(경주),2,10000,1,10000,"신우a&c 5톤
충 5톤",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,CSA521022430,0,PEMA023091600,17,CSA5000 태성(계룡),5,5000,1,5000,공기량2%낮게조정바람  입고전 영업사원 반드시 통화,,1kg샘플 제출  혼화제 반드시 하단밸브에서 투입,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,CSA521022432,0,PEMA033035309,45,CSA5000 삼표(용인),4,6000,1,6000,"샘플2통
공장진입시 출입영상 등록.",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022414,0,PEMA013013010,72,PEMA-HR1000 대동(대구),1,8000,1,8000,전과동일 백두수수료 pc유동화제 2개,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022415,0,PEMA033079200,29,PEMA-HR1000 한양(대구),2,10000,1,10000,opc용 ae제 0.27% 시간정확히 pc소포제 1캔,,1번탱크 투입 업체지시받고투입,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022416,0,PEMA013060100,229,PEMA-HR1000 인천(인천),1,10000,1,10000,Ae제 1.7프로타잎,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022417,0,PEMA013122400,33,PEMA-HR1000 성진(부산),2,8000,1,8000,4번탱크하차  OPC용 PC소포제4캔 외부계근,,공기량  0.5%하향,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022418,0,PEMA013060100,230,PEMA-HR1000 인천(인천),2,10000,1,10000,Ae제1.4프로타잎  pc소포제3캔상차,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022421,0,PEMA013023016,34,PEMA-HR1000 동양(원주),1,5000,1,5000,"하차전이송작업
pc소포제1캔
pc유동화제3캔",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022422,0,PEMA013118500,22,PEMA-HR1000 성창(삼척),3,10000,1,10000,"3성분계 
pc유동화제 5캔",,이성헌쥠통화,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022428,0,PEMA013059605,2,PEMA-HR1000 이순(동두천),2,10000,1,10000,전과동일  백두수수료,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022429,0,PEMA013068400,60,PEMA-HR1000 진영(안양),2,5000,1,5000,전과동일,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1021022433,0,PEMA043030401,95,PEMA-HR1000 부국(부천) 공기량낮은TYPE,6,8000,1,8000,공기량 낮은타입,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022405,0,PEMA013082100,94,PEMA-HR1500 대원씨앤엠(울산),1,10000,1,10000,이현구과장 통화,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022407,0,PEMA013002500,58,PEMA-HR1500 경남(사천),2,15000,1,15000,"전과동일
pc소포제 2캔",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022408,0,PEMA013111900,58,PEMA-HR1500 성보(김해),1,8000,1,8000,"전과동일
pc소포제 2개
일반소포제 2개
시간엄수",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022410,0,PEMA033021700,78,PEMA-HR1500 동서(부산),1,10000,1,10000,전과동일 PC소포제2캔 시간엄수 외부계근,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022412,0,PEMA023125200,15,PEMA-HR1500 세진(부산),2,8000,1,8000,FA용 이현구과장 통화 PC소포제5캔 외부계근(입고건),,하차전 3층탱크 물청소 및 회수(2시간 소요),KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022413,0,PEMA023125200,14,PEMA-HR1500 세진(부산),3,8000,1,8000,OPC용 이현구과장 통화 시간엄수,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022419,0,PEMA023026300,106,PEMA-HR1500 만수(정읍),1,10000,1,10000,13시  일찍들어가면  혼화제 남을수 있음,,,KG,D,2021-02-24,
A,20000,WR,PCW12,2021-02-24,3,HR1521022422,0,PEMA033014200,23,PEMA-HR1500 대성(울산),1,10000,1,10000,전과동일 2번탱크하차,,신우에이엔씨 수수료,KG,D,,
A,20000,WR,PCW12,2021-02-24,3,HR1521022423,0,PEMA033014200,23,PEMA-HR1500 대성(울산),3,10000,1,10000,전과동일 2번탱크하차,,신우에이엔씨 수수료,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022425,0,PEMA023041503,232,PEMA-HR1000 성진(천안),1,10000,1,10000,3번탱크 입고후 남으면 4번 입고,,물500kg추가,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,HR1521022426,0,PEMA043049101,78,PEMA-HR1500 아세아(아산),2,8000,1,8000,"FA 10% 타입
2번탱크 입고",,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,PR1021022411,0,PEMA013901600,112,PEMA-PR1000 동양파일(함안),2,10000,1,10000,필요사항 없음,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,PR1021022420,0,PEMA013024804,154,PEMA-PR1000 동진파일(서산),2,20000,1,20000,2공장에 입고해주세요아침 8시에 입고부탁드립니다,,입고전 사진촬영  영업사원통화,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,SR2021022406,0,PEMA033082100,15,PEMA-SR2000 대원씨엔엠(울산),1,10000,1,10000,그린콘크리트 이현구과장 통화,,1호기 5톤 2호기 5톤 하차 베테랑기사 요망,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-24,3,SR2021022427,0,PEMA013035700,2,PEMA-SR2000 삼호(담양),2,10000,1,10000,전과동일 일찍가면 남을수 있음,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-25,3,580F21022504,0,PEMA013099150,94,PEMA-580FX 쌍용(부천),1,20000,1,20000,2/26 금 580FX 20톤,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-24,3,AE21022437,0,SSA013035307,37,AE 삼표(풍납),4,1000,1,1000,.,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-24,3,AE21022438,0,SSA013082500,122,AE 현대(안성),5,10000,1,10000,희석용,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,AE21022515,0,SSA073046500,288,AE 신일(송파),2,1000,1,1000,AE제,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-24,3,CSA521022435,0,PEMA033035307,54,CSA5000 삼표(풍납),2,8000,1,8000,pc유동화제5캔상차,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,CSA521022522,0,PEMA033023004,28,CSA5000 동양(아산),1,7000,1,7000,소포제2통 유동화제2통  혼화제샘플1kg,,전과동일 8시~30분 사이  대리점 육심욱이사,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-24,3,HR1021022434,0,PEMA013082500,125,PEMA-HR1000 현대(안성),1,10000,1,10000,"전과동일
PC유동화제 5캔",,PC소포제 10캔 ( 판매용 - 송장 같이 ),KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022502,0,PEMA023077800,35,PEMA-HR1000 한덕(천안),1,7000,1,7000,"AE제 2.3%타입
1번탱크 입고",,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022510,0,PEMA033009000,124,PEMA-HR1000 나성(나주),2,10000,1,10000,일반용 혼화제 조정 배호재과장 시간엄수,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022511,0,PEMA023058622,2,PEMA-HR1000 유진(나주),1,5000,1,5000,공기연행제 1캔상차,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022516,0,PEMA043023200,132,PEMA-HR1000 동양(광주),2,8000,1,8000,OPC용,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022517,0,PEMA013112900,50,PEMA-HR1000 영동(동해),2,5000,1,5000,"3성분계용
이성헌쥠통화
시간정확히",,"pc소포제1캔
pc유동화제3캔",KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022522,0,PEMA053049403,62,PEMA-HR1000 아이에스(이천),1,5000,1,5000,"3번 비피 입고
박광서차장 배합",,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022526,0,PEMA013061000,72,PEMA-HR1000 일진(양평),3,10000,1,10000,"AE제 1.5% 타입
2번탱크 입고후 잔량 3번",,자체계근신경요청,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022527,0,PEMA013063800,166,PEMA-HR1000 제일(이서),2,10000,1,10000,전과동일,,배차완료시 김종민이사통화(01036805051),KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022530,0,PEMA013108400,52,PEMA-HR1000 우신(파주),2,8000,1,8000,전과동일  시간엄수  pc소포제5캔상차,,,KG,D,2021-02-25,
A,20000,WO,PCW12,2021-02-25,3,HR1021022533,0,PEMA033088300,541,PEMA-HR1000 성진(안양),9,5000,1,5000,ae 2.0 ( ad2 ),,,KG,D,2021-02-25,
