원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
SR13801,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,2,액상리그닌,0,2.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,6,RA-300S,1,265,5.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,4,WRE-770,18,350,7,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,5,SRE-200SD-T,14,700,14,0,KG,,0,10,1,
SR68222,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,3,소포제(MR-130),0,6,0.12,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,1,사용수,30,7185,71.85,0,KG,재활용수800kg적용,15,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,2,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,6,RA-300S,1,200,2,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,4,WRE-770,18,1820,18.2,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,5,SRE-200SD-T,14,780,7.8,0,KG,,0,10,1,
SR68222,A,WO,20000,2021-02-22,HR1021022226,0,PEMA013078018,14,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,1,사용수,30,6915,69.15,0,KG,재활용수800KG,15,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,2,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,8,RA-300S,1,80,0.8,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,4,WRE-770,18,150,1.5,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,5,WRE-550T,21,1100,11,0,KG,,0,15,1,
SR35228,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,6,SRE-200SD-T,14,800,8,0,KG,,0,10,1,
SR35903,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,9,PCA3000,10,450,4.5,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,7,Urea-20%,4,490,4.9,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1021022227,0,PEMA013060901,23,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,1,사용수,30,6002,60.02,0,KG,재활용수800kg적용,14,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,3,액상리그닌,0,4,0.04,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,6,RA-300S,1,74,0.74,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,4,WRE-770,18,1960,19.6,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,7,PCA3000,10,500,5,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,5,Urea-20%,4,1450,14.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1021022229,0,PEMA013046900,86,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,1,사용수,30,2915,58.3,0,KG,재활용수400KG,10,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,3,액상리그닌,0,5,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,6,RA-300S,1,200,4,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,4,WRE-770,18,900,18,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,7,PCA3000,10,350,7,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,5,Urea-20%,4,625,12.5,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-22,HR1021022231,0,PEMA013058613,18,2,소포제(MR-130),0,5,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,1,사용수,30,6930,69.3,0,KG,재활용수800kg적용,20,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,3,액상리그닌,0,10,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,4,글루콘산소다,2,300,3,0,KG,,0,35,1,
SR16600,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,8,RA-300S,1,250,2.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,5,WRE-770,18,1200,12,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,6,SRE-200SD-T,14,400,4,0,KG,,0,10,1,
SR35903,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,9,PCA3000,10,550,5.5,0,KG,마지막투입요망,0,25,1,
SR35904,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,7,Urea-20%,4,350,3.5,0,KG,,0,35,1,
SR68222,A,WO,20000,2021-02-22,HR1021022233,0,PEMA013125500,18,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,1,사용수,30,6842,68.42,0,KG,재활용수800KG,20,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,3,액상리그닌,0,10,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,4,글루콘산소다,2,400,4,0,KG,,0,35,1,
SR16600,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,8,RA-300S,1,260,2.6,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,5,WRE-770,18,100,1,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,6,WRE-550T,21,1428,14.28,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,10,M30,7,100,1,0,KG,마지막투입,0,30,1,
SR35903,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,9,PCA3000,10,600,6,0,KG,,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,7,Urea-20%,4,250,2.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1021022236,0,PEMA023046501,178,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,1,사용수,30,2730,54.6,0,KG,재활용수400kg,10,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,2,액상리그닌,0,5,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,6,RA-300S,1,225,4.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,4,WRE-770,18,575,11.5,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,7,PCA3000,10,360,7.2,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,5,Urea-20%,4,1100,22,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1021022237,0,PEMA033046500,390,3,소포제(MR-130),0,5,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,1,사용수,30,4882.5,69.75,0,KG,재활용수560kg적용,14,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,2,액상리그닌,0,7,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,6,RA-300S,1,59.5,0.85,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,4,WRE-770,18,1190,17,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,7,PCA3000,10,350,5,0,KG,마지막투입,0,25,1,
SR35904,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,5,Urea-20%,4,504,7.2,0,KG,,0,35,1,
SR68222,A,WO,20000,2021-02-22,HR1021022241,0,PEMA223048300,54,3,소포제(MR-130),0,7,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,1,사용수,30,6021,66.9,0,KG,재활용수720kg적용,9,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,2,액상리그닌,0,450,5,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,5,RA-300S,1,360,4,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,4,WRE-770,18,1800,20,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,6,PCA3000,10,360,4,0,KG,마지막투입,0,20,1,
SR68222,A,WO,20000,2021-02-22,HR1021022243,0,PEMA013105210,106,3,소포제(MR-130),0,9,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,1,사용수,30,6675,66.75,0,KG,재활용수800kg,15,60,1,
SR13801,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,3,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,7,RA-300S,1,30,0.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,4,WRE-770,18,1312,13.12,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,5,WRE-550T,21,1312,13.12,0,KG,,0,15,1,
SR35228,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,6,SRE-200SD-T,14,656,6.56,0,KG,,0,10,1,
SR68222,A,WO,20000,2021-02-22,HR1521022213,0,PEMA023080800,5,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,1,사용수,30,4833.5,69.05,0,KG,재활용수560KG,10.5,60,1,
SR13801,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,3,액상리그닌,0,3.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,6,RA-300S,1,140,2,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,4,WRE-770,18,1612.8,23.04,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,5,SRE-200SD-T,14,403.2,5.76,0,KG,,0,10,1,
SR68222,A,WO,20000,2021-02-22,HR1521022217,0,PEMA023092101,7,2,소포제(MR-130),0,7,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,1,사용수,30,6912,57.6,0,KG,재활용수960kg적용,18,60,1,
SR13801,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,2,액상리그닌,0,6,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,6,RA-300S,1,282,2.35,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,4,WRE-770,18,1968,16.4,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,7,PCA3000,10,720,6,0,KG,마지막 투입해주세요,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,5,Urea-20%,4,2100,17.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1521022219,0,PEMA033030500,318,3,소포제(MR-130),0,12,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,1,사용수,30,2715,54.3,0,KG,재활용수400KG,10,45,1,
SR13801,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,2,액상리그닌,0,5,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,6,RA-300S,1,275,5.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,4,WRE-770,18,600,12,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,7,PCA3000,10,350,7,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,5,Urea-20%,4,1050,21,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,HR1521022239,0,PEMA053046500,239,3,소포제(MR-130),0,5,0.1,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-22,PEMA210223,0,PCA021027605,4,1,WRE-580FX(55%),16,10345.5,85.5,0,KG,,0,0,1,
SR35904,A,WO,20000,2021-02-22,PEMA210223,0,PCA021027605,4,2,Urea-20%,4,1754.5,14.5,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,1,사용수,30,2107.2,70.24,0,KG,,4.5,60,1,
SR13801,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,2,액상리그닌,0,1.5,0.05,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,4,WRE-580FX(55%),16,294.6,9.82,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,5,WRE-550T,21,323.7,10.79,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,6,M30,7,270,9,0,KG,마지막투입,0,30,1,
SR38117,A,WO,20000,2021-02-22,PR1021022210,0,PEMA023129801,21,3,PC소포제,0,3,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,1,사용수,30,15452.8,70.24,0,KG,,33,60,1,
SR13801,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,2,액상리그닌,0,11,0.05,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,4,WRE-580FX(55%),16,2160.4,9.82,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,5,WRE-550T,21,2373.8,10.79,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,6,M30,7,1980,9,0,KG,마지막투입,0,30,1,
SR38117,A,WO,20000,2021-02-22,PR1021022210,1,PEMA023129801,21,3,PC소포제,0,22,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,PR1021022234,0,PEMA013901520,166,1,사용수,30,13554,67.77,0,KG,,20,60,1,
SR35218,A,WO,20000,2021-02-22,PR1021022234,0,PEMA013901520,166,3,WRE-580FX(55%),16,3708,18.54,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-22,PR1021022234,0,PEMA013901520,166,4,WRE-550T,21,718,3.59,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-22,PR1021022234,0,PEMA013901520,166,5,M30,7,2000,10,0,KG,꼭 마지막에 투입하세요!,0,30,1,
SR38117,A,WO,20000,2021-02-22,PR1021022234,0,PEMA013901520,166,2,PC소포제,0,20,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,1,사용수,30,3681.5,73.63,0,KG,,8.5,60,1,
SR13801,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,4,액상리그닌,0,2.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,6,RA-300S,1,10,0.2,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,5,WRE-770,18,1300,26,0,KG,,0,20,1,
SR38117,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,2,PC소포제,0,3.5,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-22,SR2021022214,0,PEMA033078017,4,3,소포제(MR-130),0,2.5,0.05,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,SR2021022221,0,PEMA043080500,3,1,사용수,30,2692.5,53.85,0,KG,,6,60,1,
SR13801,A,WO,20000,2021-02-22,SR2021022221,0,PEMA043080500,3,2,액상리그닌,0,2.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,SR2021022221,0,PEMA043080500,3,7,RA-300S,1,80,1.6,0,KG,,0,5,1,
