수주번호,거래처코드,제품코드,"영업등록구분(계획, 추가)",수주량,수주단가,수주금액,수주예정일자,수주일자,납기예정일자,납기일자,생산계획확정여부,자재계획확정여부,판매수량,진행현황,적재창고위치,적재창고위치명,긴급여부,비고
PEMA210223,2003700.0,PCA021027605,계획,12100.0,1025.0,12402500.0,2021-02-21,2021-02-21,2021-02-24,2021-02-24,Y,Y,12100.0,완료,20000.0,태안,N,
PR1021022210,2003800.0,PEMA023129801,계획,3000.0,1026.0,3078000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000.0,완료,20000.0,태안,N,
PR1021022210,2003900.0,PEMA023129801,계획,22000.0,1027.0,22594000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,22000.0,완료,20000.0,태안,N,
PR1021022234,2004000.0,PEMA013901520,계획,20000.0,1028.0,20560000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,20000.0,완료,20000.0,태안,N,
SR2021022214,2004100.0,PEMA033078017,계획,5000.0,1029.0,5145000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
SR2021022221,2004104.0,PEMA043080500,계획,5000.0,1030.0,5150000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
SR2021022222,2004200.0,PEMA043080500,계획,2000.0,1031.0,2062000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,2000.0,완료,20000.0,태안,N,
SR2021022238,2004300.0,PEMA043062000,계획,6000.0,1032.0,6192000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,6000.0,완료,20000.0,태안,N,
SR3F21022220,2004400.0,PEMA063030500,계획,3000.0,1033.0,3099000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000.0,완료,20000.0,태안,N,
SR3F21022235,2004500.0,PEMA023030801,계획,6000.0,1034.0,6204000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,6000.0,완료,20000.0,태안,N,
500F21022309,2004600.0,PEMA023058600,계획,15000.0,1035.0,15525000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,15000.0,완료,20000.0,태안,N,
580F21022311,2004700.0,PEMA073050413,계획,15000.0,1036.0,15540000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,15000.0,완료,20000.0,태안,N,
580F21022312,2004800.0,PEMA013099150,계획,20000.0,1037.0,20740000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,20000.0,완료,20000.0,태안,N,
CR1021022315,2004901.0,PEMA023123000,계획,3000.0,1038.0,3114000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,3000.0,완료,20000.0,태안,N,
CR1021022316,2005000.0,PEMA023123000,계획,7000.0,1039.0,7273000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000.0,완료,20000.0,태안,N,
CSA421022326,2005100.0,PEMA013046500,계획,5000.0,1040.0,5200000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
CSA521022310,2005200.0,PEMA023052200,계획,10000.0,1041.0,10410000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022324,2005300.0,PEMA553048200,계획,10000.0,1042.0,10420000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022334,2005400.0,PEMA013111300,계획,10000.0,1043.0,10430000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022335,2005500.0,PEMA023035315,계획,8000.0,1044.0,8352000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000.0,완료,20000.0,태안,N,
CSA521022342,2005600.0,PEMA023001000,계획,10000.0,1045.0,10450000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022228,2005700.0,PEMA013039505,계획,7000.0,1046.0,7322000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022230,2005800.0,PEMA013049304,계획,10000.0,1047.0,10470000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022244,2005900.0,PEMA013010100,계획,10000.0,1048.0,10480000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022245,2006000.0,PEMA013041507,계획,7000.0,1049.0,7343000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022246,2006100.0,PEMA013099140,계획,3000.0,1050.0,3150000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,3000.0,완료,20000.0,태안,N,
HR1021022247,2006200.0,PEMA013099140,계획,7000.0,1051.0,7357000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022248,2006300.0,PEMA033088300,계획,10000.0,1052.0,10520000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022314,2006400.0,PEMA623022500,계획,10000.0,1053.0,10530000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022322,2006500.0,PEMA043101200,계획,10000.0,1054.0,10540000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022323,2006600.0,PEMA013125010,계획,5000.0,1055.0,5275000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022325,2006606.0,PEMA153001100,계획,5000.0,1056.0,5280000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022327,2006609.0,PEMA033046500,계획,10000.0,1057.0,10570000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022328,2006612.0,PEMA013017400,계획,5000.0,1058.0,5290000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022331,2006700.0,PEMA013005900,계획,10000.0,1059.0,10590000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022332,2006800.0,PEMA013072100,계획,8000.0,1060.0,8480000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022333,2006900.0,PEMA013089230,계획,10000.0,1061.0,10610000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022336,2007000.0,PEMA023061900,계획,8000.0,1062.0,8496000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022338,2007100.0,PEMA033041500,계획,10000.0,1063.0,10630000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022340,2007200.0,PEMA043001100,계획,10000.0,1064.0,10640000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022341,2007302.0,PEMA213048300,계획,8000.0,1065.0,8520000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,8000.0,완료,20000.0,태안,N,
HR1521022313,2007400.0,PEMA023022400,계획,10000.0,1066.0,10660000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022317,2007500.0,PEMA053031200,계획,10000.0,1067.0,10670000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022319,2007600.0,PEMA033002600,계획,4000.0,1068.0,4272000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,4000.0,완료,20000.0,태안,N,
HR1521022329,2007700.0,PEMA043011800,계획,10000.0,1069.0,10690000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022330,2007800.0,PEMA063048100,계획,2000.0,1070.0,2140000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,2000.0,완료,20000.0,태안,N,
HR1521022345,2001102.0,PEMA013046101,계획,4000.0,1071.0,4284000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,4000.0,완료,20000.0,태안,N,
HR1521022346,2001200.0,PEMA013046101,계획,4000.0,1072.0,4288000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,4000.0,완료,20000.0,태안,N,
SP1021022343,2001300.0,TSN4012001214,계획,10000.0,1073.0,10730000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
SP1021022344,2001400.0,TSN4012043602,계획,10000.0,1074.0,10740000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
SR2021022320,2001500.0,PEMA043091500,계획,2000.0,1075.0,2150000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,2000.0,완료,20000.0,태안,N,
SR2021022321,2001600.0,PEMA043091500,계획,10000.0,1076.0,10760000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,10000.0,완료,20000.0,태안,N,
SR2021022347,2001700.0,PEMA043046101,계획,3000.0,1077.0,3231000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,3000.0,완료,20000.0,태안,N,
SR2021022348,2001800.0,PEMA043046101,계획,3000.0,1078.0,3234000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,3000.0,완료,20000.0,태안,N,
SR2A21022337,2002000.0,PEMA023117801,계획,5000.0,1079.0,5395000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
SR3F21022308,2002100.0,PEMA013081906,계획,3000.0,1080.0,3240000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,3000.0,완료,20000.0,태안,N,
SR3F21022318,2002200.0,PEMA023002600,계획,5000.0,1081.0,5405000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
SR3F21022339,2002300.0,PEMA033041501,계획,5000.0,1082.0,5410000.0,2021-02-23,2021-02-23,2021-02-26,2021-02-26,Y,Y,5000.0,완료,20000.0,태안,N,
500F21022404,2002400.0,PEMA023058600,계획,23000.0,1083.0,24909000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,23000.0,완료,20000.0,태안,N,
500F21022404,2002500.0,PEMA023058600,계획,2000.0,1084.0,2168000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,2000.0,완료,20000.0,태안,N,
580F21022409,2002600.0,PEMA033103000,계획,15000.0,1085.0,16275000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,15000.0,완료,20000.0,태안,N,
CSA421022431,2002700.0,PEMA033030400,계획,7000.0,1086.0,7602000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,7000.0,완료,20000.0,태안,N,
CSA521022349,2002800.0,PEMA823048300,계획,10000.0,1087.0,10870000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022424,2002900.0,PEMA103048200,계획,10000.0,1088.0,10880000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022430,2003000.0,PEMA023091600,계획,5000.0,1089.0,5445000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,5000.0,완료,20000.0,태안,N,
CSA521022432,2003100.0,PEMA033035309,계획,6000.0,1090.0,6540000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,6000.0,완료,20000.0,태안,N,
HR1021022414,2003200.0,PEMA013013010,계획,8000.0,1091.0,8728000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022415,2003300.0,PEMA033079200,계획,10000.0,1092.0,10920000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022416,2003400.0,PEMA013060100,계획,10000.0,1093.0,10930000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022417,2003500.0,PEMA013122400,계획,8000.0,1094.0,8752000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022418,2003600.0,PEMA013060100,계획,10000.0,1095.0,10950000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022421,2003700.0,PEMA013023016,계획,5000.0,1096.0,5480000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022422,2003800.0,PEMA013118500,계획,10000.0,1097.0,10970000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022428,2003900.0,PEMA013059605,계획,10000.0,1098.0,10980000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022429,2004000.0,PEMA013068400,계획,5000.0,1099.0,5495000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022433,2004100.0,PEMA043030401,계획,8000.0,1100.0,8800000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1521022405,2004104.0,PEMA013082100,계획,10000.0,1101.0,11010000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022407,2004200.0,PEMA013002500,계획,15000.0,1102.0,16530000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,15000.0,완료,20000.0,태안,N,
HR1521022408,2004300.0,PEMA013111900,계획,8000.0,1103.0,8824000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1521022410,2004400.0,PEMA033021700,계획,10000.0,1104.0,11040000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022412,2004500.0,PEMA023125200,계획,8000.0,1105.0,8840000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1521022413,2004600.0,PEMA023125200,계획,8000.0,1106.0,8848000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
HR1521022419,2004700.0,PEMA023026300,계획,10000.0,1107.0,11070000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022422,2004800.0,PEMA033014200,계획,10000.0,1108.0,11080000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022423,2004901.0,PEMA033014200,계획,10000.0,1109.0,11090000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022425,2005000.0,PEMA023041503,계획,10000.0,1110.0,11100000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022426,2005100.0,PEMA043049101,계획,8000.0,1111.0,8888000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
PR1021022411,2005200.0,PEMA013901600,계획,10000.0,1112.0,11120000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
PR1021022420,2005300.0,PEMA013024804,계획,20000.0,1113.0,22260000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,20000.0,완료,20000.0,태안,N,
SR2021022406,2005400.0,PEMA033082100,계획,10000.0,1114.0,11140000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
SR2021022427,2005500.0,PEMA013035700,계획,10000.0,1115.0,11150000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
580F21022504,2005600.0,PEMA013099150,계획,20000.0,1116.0,22320000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,20000.0,완료,20000.0,태안,N,
AE21022437,2005700.0,SSA013035307,계획,1000.0,1117.0,1117000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,1000.0,완료,20000.0,태안,N,
AE21022438,2005800.0,SSA013082500,계획,10000.0,1118.0,11180000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
AE21022515,2005900.0,SSA073046500,계획,1000.0,1119.0,1119000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,1000.0,완료,20000.0,태안,N,
CSA521022435,2006000.0,PEMA033035307,계획,8000.0,1120.0,8960000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,8000.0,완료,20000.0,태안,N,
CSA521022522,2006100.0,PEMA033023004,계획,7000.0,1121.0,7847000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022434,2006200.0,PEMA013082500,계획,10000.0,1122.0,11220000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022502,2006300.0,PEMA023077800,계획,7000.0,1123.0,7861000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022510,2006400.0,PEMA033009000,계획,10000.0,1124.0,11240000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022511,2006500.0,PEMA023058622,계획,5000.0,1125.0,5625000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022516,2006600.0,PEMA043023200,계획,8000.0,1126.0,9008000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022517,2006606.0,PEMA013112900,계획,5000.0,1127.0,5635000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022522,2006609.0,PEMA053049403,계획,5000.0,1128.0,5640000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022526,2006612.0,PEMA013061000,계획,10000.0,1129.0,11290000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022527,2006700.0,PEMA013063800,계획,10000.0,1130.0,11300000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022530,2006800.0,PEMA013108400,계획,8000.0,1131.0,9048000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,8000.0,완료,20000.0,태안,N,
HR1021022533,2006900.0,PEMA033088300,계획,5000.0,1132.0,5660000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022534,2007000.0,PEMA033088300,계획,7000.0,1133.0,7931000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022535,2007100.0,PEMA13031400,계획,10000.0,1134.0,11340000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022536,2007200.0,PEMA013041507,계획,7000.0,1135.0,7945000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022537,2007302.0,PEMA013103100,계획,7000.0,1136.0,7952000.0,2021-02-26,2021-02-26,2021-03-01,2021-03-01,Y,Y,7000.0,완료,20000.0,태안,N,
HR1521022436,2007400.0,PEMA053046500,계획,7000.0,1137.0,7959000.0,2021-02-24,2021-02-24,2021-02-27,2021-02-27,Y,Y,7000.0,완료,20000.0,태안,N,
HR1521022505,2007500.0,PEMA023110500,계획,3000.0,1138.0,3414000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,3000.0,완료,20000.0,태안,N,
HR1521022506,2007600.0,PEMA023110500,계획,3000.0,1139.0,3417000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,3000.0,완료,20000.0,태안,N,
HR1521022509,2007700.0,PEMA133057600,계획,10000.0,1140.0,11400000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022513,2007800.0,PEMA053038600,계획,5000.0,1141.0,5705000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1521022518,2001102.0,PEMA033006900,계획,10000.0,1142.0,11420000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022524,2001200.0,PEMA013007300,계획,10000.0,1143.0,11430000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022525,2001300.0,PEMA013028200,계획,10000.0,1144.0,11440000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022528,2001400.0,PEMA013071300,계획,5000.0,1145.0,5725000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
HR1521022538,2001500.0,PEMA013120100,계획,10000.0,1146.0,11460000.0,2021-02-26,2021-02-26,2021-03-01,2021-03-01,Y,Y,10000.0,완료,20000.0,태안,N,
PCM221022519,2001600.0,PEMA063061300,계획,5000.0,1147.0,5735000.0,2021-02-25,2021-02-25,2021-02-28,2021-02-28,Y,Y,5000.0,완료,20000.0,태안,N,
