"°í°´¹øÈ£","¼ºº°","2014³â ÃÑ±¸¸Å¾×","2015³â ÃÑ±¸¸Å¾×","Áõ°¨·ü"
"00255","F",79155044,46034132,-41.84
"00256","F",122540290,106923568,-12.74
"00257","F",8382087,7774895,-7.24
"00258","F",102937800,289216940,180.96
"00259","M",23641070,12417968,-47.47
"00260","F",8016617,4904191,-38.82
"00261","M",19674591,10985310,-44.16
"00262","F",18606893,18208200,-2.14
"00263","F",3389070,3497581,3.2
"00264","F",6485342,5341759,-17.63
"00265","F",111255159,90974301,-18.23
"00266","F",22275630,20130426,-9.63
"00267","F",28396740,21939380,-22.74
"00268","F",29017269,25958040,-10.54
"00269","F",40779543,33475117,-17.91
"00270","F",4053045,4916062,21.29
"00271","F",32529450,48464350,48.99
"00272","F",14074149,17323849,23.09
"00273","M",35997338,36586275,1.64
"00274","F",2243782,3777718,68.36
"00275","M",30567949,25736504,-15.81
"00276","M",4793973,6492753,35.44
"00277","F",9053458,10226823,12.96
"00278","M",3139461,2291212,-27.02
"00279","F",26334490,28446980,8.02
"00280","M",42165820,26853853,-36.31
"00281","M",37659633,53072704,40.93
"00282","F",24505927,26646801,8.74
"00283","F",76389370,64411680,-15.68
"00284","M",1085821,1828410,68.39
"00285","F",2425078,3431826,41.51
"00286","F",16843207,14835930,-11.92
"00287","F",4201291,4891827,16.44
"00288","F",17899064,18204883,1.71
"00289","M",9116160,8618260,-5.46
"00290","F",5897969,6480838,9.88
"00291","M",5645442,6922783,22.63
"00292","F",40241010,44838649,11.43
"00293","F",8987106,15728310,75.01
"00294","F",28025090,34691950,23.79
"00295","M",11019870,23025289,108.94
"00296","F",41494835,36765051,-11.4
"00297","F",29711919,34588795,16.41
"00298","F",54860434,94268987,71.83
"00299","F",13456820,7293608,-45.8
"00300","F",11809108,12210769,3.4
"00301","F",18609093,22075900,18.63
"00302","F",22417180,16084685,-28.25
"00303","F",13576423,15487127,14.07
"00304","F",36275460,108119436,198.05
"00305","F",57724224,66811995,15.74
"00306","M",22952070,38119840,66.08
"00307","M",36214086,20298122,-43.95
"00308","F",17657589,7417053,-58
"00309","F",49590380,35254668,-28.91
"00310","F",10966677,9820430,-10.45
"00311","F",21908924,18821326,-14.09
"00312","F",8897119,6381155,-28.28
"00313","M",42579731,30676274,-27.96
"00314","F",60794000,76241370,25.41
"00315","M",95811562,143462513,49.73
"00316","F",34700922,107608935,210.1
"00317","F",17596790,16645136,-5.41
"00318","F",16841610,9924710,-41.07
"00319","F",30292670,25879650,-14.57
"00320","F",9859184,11664298,18.31
"00321","F",49747809,28768688,-42.17
"00322","M",12386174,14678891,18.51
"00323","F",41461628,38149464,-7.99
"00324","F",43265954,44687600,3.29
"00325","F",27742139,12416149,-55.24
"00326","M",18029559,26870479,49.04
"00327","F",36621234,43287340,18.2
"00328","F",24746180,26745370,8.08
"00329","F",37692540,25765492,-31.64
"00330","M",507110,7725941,1423.52
"00331","F",5345557,5697520,6.58
"00332","F",22946367,23239415,1.28
"00333","F",15278308,18739837,22.66
"00334","F",12159360,24173030,98.8
"00335","F",48498586,62890531,29.67
"00336","F",7313829,7039199,-3.75
"00337","M",85250913,82665740,-3.03
"00338","F",7238887,8860992,22.41
"00339","F",13828236,14439131,4.42
"00340","F",20025480,16655770,-16.83
"00341","F",47155400,73312520,55.47
"00342","F",5393440,5279266,-2.12
"00343","F",21244744,27310511,28.55
"00344","F",20194612,10141946,-49.78
"00345","F",55069993,22326810,-59.46
"00346","F",4540300,6962960,53.36
"00347","F",9687450,8155579,-15.81
"00348","M",7223499,5650635,-21.77
"00349","F",44122781,29903326,-32.23
"00350","F",5624801,10292536,82.98
"00351","F",28570253,14759610,-48.34
"00352","F",69668147,114775020,64.75
"00353","F",5062052,6811830,34.57
"00354","F",5123769,5943959,16.01
"00355","F",58956466,19980017,-66.11
"00356","F",29041975,23194196,-20.14
"00357","F",5449011,5667587,4.01
"00358","F",25558970,43289330,69.37
"00359","F",17294060,15391092,-11
"00360","M",13189552,16008619,21.37
"00361","F",41551439,58980071,41.94
"00362","F",6004106,11248404,87.35
"00363","F",127871200,56466210,-55.84
"00364","F",8460573,8014467,-5.27
"00365","M",82641336,18604403,-77.49
"00366","M",3786385,4335057,14.49
"00367","F",63206362,47072796,-25.53
"00368","F",26030875,33752993,29.67
"00369","M",27433270,30255880,10.29
"00370","F",5749685,6198765,7.81
"00371","F",7591601,8682816,14.37
"00372","F",6210661,5082173,-18.17
"00373","F",19602671,74813238,281.65
"00374","F",28423450,23380574,-17.74
"00375","F",78687563,87798860,11.58
"00376","F",2213064,2627119,18.71
"00377","F",46607136,36595450,-21.48
"00378","F",30925763,41860741,35.36
"00379","F",8454460,17976190,112.62
"00380","F",3924022,2906500,-25.93
"00381","F",13934130,13105560,-5.95
"00382","M",38317258,36126909,-5.72
"00383","M",29365850,31174690,6.16
"00384","F",3242953,5618961,73.27
"00385","F",5834921,4365569,-25.18
"00386","F",22581831,18711810,-17.14
"00387","F",57649467,56959057,-1.2
"00388","F",108931037,82468423,-24.29
"00389","M",8137167,9618002,18.2
"00390","F",6001004,5877764,-2.05
"00391","F",73124201,53491122,-26.85
"00392","F",3061943,7428098,142.59
"00393","F",42321080,52388640,23.79
"00394","F",7245890,8397896,15.9
"00395","F",5747303,9925528,72.7
"00396","F",7311174,7483678,2.36
"00397","M",10231254,10358301,1.24
"00398","F",39930139,57372201,43.68
"00399","F",74014330,76846420,3.83
"00400","F",76719120,65082340,-15.17
"00401","M",72755010,61982440,-14.81
"00402","F",13990170,19298675,37.94
"00403","M",3496182,4707015,34.63
"00404","F",21379619,33702754,57.64
"00405","F",14998200,7612462,-49.24
"00406","M",3920881,5458133,39.21
"00407","M",80731020,58522025,-27.51
"00408","M",383956730,315255950,-17.89
"00409","F",44777638,33911930,-24.27
"00410","F",2912544,4195344,44.04
"00411","F",35282990,22077370,-37.43
"00412","F",30111058,18249129,-39.39
"00413","F",33725818,49711955,47.4
"00414","F",40872173,38383410,-6.09
"00415","F",3884159,5255404,35.3
"00416","M",97766492,49169800,-49.71
"00417","F",21127360,19524390,-7.59
"00418","F",9676466,8197217,-15.29
"00419","F",28722040,23211350,-19.19
"00420","F",13289485,14446992,8.71
"00421","F",41177831,42187697,2.45
"00422","F",8181631,6450428,-21.16
"00423","F",27704840,17779925,-35.82
"00424","M",1437728,1794570,24.82
"00425","F",8044283,8998470,11.86
"00426","F",21317336,30349970,42.37
"00427","F",8870974,13593090,53.23
"00428","F",70414450,97027370,37.79
"00429","F",27309554,23472994,-14.05
"00430","F",45049780,54337940,20.62
"00431","F",7250385,11009927,51.85
"00432","F",31171871,15853550,-49.14
"00433","M",35541430,48486700,36.42
"00434","F",24535669,27263779,11.12
"00435","F",14015750,10105230,-27.9
"00436","M",40574620,38492593,-5.13
"00437","F",1117514,3910422,249.92
"00438","F",54002899,24294596,-55.01
"00439","F",3389396,5799858,71.12
"00440","F",42117634,27287489,-35.21
"00441","F",17065413,29818238,74.73
"00442","F",14423191,18320276,27.02
"00443","F",51209352,51828224,1.21
"00444","M",60667697,85765405,41.37
"00445","F",4007802,4405435,9.92
"00446","F",7897871,10518286,33.18
"00447","M",8520273,22194616,160.49
"00448","F",47342838,27462314,-41.99
"00449","F",25419941,50155644,97.31
"00450","F",58133838,84158092,44.77
"00451","M",14490075,11940678,-17.59
"00452","F",5925567,9640834,62.7
"00453","M",37635871,23529836,-37.48
"00454","F",6875900,7830888,13.89
"00455","F",77738547,50568092,-34.95
"00456","F",12160976,53370939,338.87
"00457","F",86209339,67557947,-21.64
"00458","F",5407173,6318236,16.85
"00459","F",15926060,14107460,-11.42
"00460","M",22708445,6600920,-70.93
"00461","F",4448904,5077510,14.13
"00462","F",42538701,28936289,-31.98
"00463","F",32397080,28071090,-13.35
"00464","F",9855388,10510801,6.65
"00465","M",10397741,11099869,6.75
"00466","F",102661134,92548691,-9.85
"00467","F",11039182,9334317,-15.44
"00468","F",26737057,27027581,1.09
"00469","F",18284370,7147870,-60.91
"00470","F",4282659,4024228,-6.03
"00471","F",50710200,86425350,70.43
"00472","M",3192027,5531591,73.29
"00473","F",6478236,6665975,2.9
"00474","F",54108040,53628088,-0.89
"00475","F",15917080,11802642,-25.85
"00476","F",6485265,7157263,10.36
"00477","M",119194361,84967630,-28.72
"00478","F",129697542,116888463,-9.88
"00479","F",5189393,4755803,-8.36
"00480","F",49470166,56991687,15.2
"00481","F",40864824,29044017,-28.93
"00482","F",4042862,6589543,62.99
"00483","F",3572010,4571960,27.99
"00484","F",20579409,21072610,2.4
"00485","F",56464230,64136540,13.59
"00486","F",73384050,68192630,-7.07
"00487","F",5252283,6870126,30.8
"00488","F",6668099,6078519,-8.84
"00489","F",34664010,30890899,-10.88
"00490","F",11435950,17214240,50.53
"00491","F",8536170,6675420,-21.8
"00492","F",37465060,32910030,-12.16
"00493","F",6840835,7176706,4.91
"00494","M",19160040,35685664,86.25
"00495","F",2971223,3518260,18.41
"00496","F",9572100,11085670,15.81
"00497","F",5700906,6866767,20.45
"00498","F",5318727,6426110,20.82
"00499","F",2666331,4192242,57.23
"00500","F",8912484,9322232,4.6
"00501","F",83971940,51799470,-38.31
"00502","F",30485658,29080106,-4.61
"00503","F",37950028,56975826,50.13
"00504","F",50406580,52202236,3.56
"00505","F",141583652,114103773,-19.41
"00506","F",12259003,19770408,61.27
"00507","M",18650140,16389360,-12.12
"00508","M",102687229,65092466,-36.61
"00509","F",26519630,20062540,-24.35
"00510","F",49188960,29743794,-39.53
"00511","F",4822550,4036575,-16.3
"00512","F",3225411,4861479,50.72
"00513","F",32949740,60086020,82.36
"00514","F",6710895,10093774,50.41
"00515","F",35844684,29223738,-18.47
"00516","F",4932153,5346370,8.4
"00517","M",26817080,24167382,-9.88
"00518","F",82674162,47367257,-42.71
"00519","F",11836180,31567433,166.7
"00520","M",38219310,20861016,-45.42
"00521","F",74169716,92627025,24.89
"00522","F",11686962,14743450,26.15
"00523","F",8477157,8759241,3.33
"00524","F",8867582,6995619,-21.11
"00525","F",20873184,23377594,12
"00526","F",35837672,20744545,-42.12
"00527","F",5900850,2988391,-49.36
"00528","F",1939511,2440814,25.85
"00529","F",156703636,64207407,-59.03
"00530","M",9379973,9539100,1.7
"00531","M",18632801,17593067,-5.58
"00532","F",34006290,52168708,53.41
"00533","M",5192099,5572977,7.34
"00534","F",10503080,10396220,-1.02
"00535","F",59135967,91654683,54.99
"00536","F",3106130,3313390,6.67
"00537","F",3532021,4541371,28.58
"00538","F",32153960,23782230,-26.04
"00539","F",20223813,17070514,-15.59
"00540","F",6834555,5958042,-12.82
"00541","F",7531806,8516175,13.07
"00542","F",9455931,6253481,-33.87
"00543","M",11051478,12249079,10.84
"00544","F",46812038,34325292,-26.67
"00545","F",22030990,34943728,58.61
"00546","F",59386720,92418350,55.62
"00547","M",92471384,44789994,-51.56
"00548","F",18032031,26158962,45.07
"00549","F",23772240,22064690,-7.18
"00550","M",8117447,35596296,338.52
"00551","F",6247814,8306725,32.95
"00552","F",11020858,9592965,-12.96
"00553","M",28303090,26269160,-7.19
"00554","F",49827180,55698276,11.78
"00555","F",9057900,11539713,27.4
"00556","F",9019485,5960042,-33.92
"00557","F",7669344,6196370,-19.21
"00558","F",6950149,7297550,5
"00559","M",73311030,45440988,-38.02
"00560","F",41276565,61178020,48.21
"00561","F",28200540,45261840,60.5
"00562","F",382033410,146766770,-61.58
"00563","F",9378973,10952061,16.77
"00564","F",51709843,37163858,-28.13
"00565","F",55816900,44190620,-20.83
"00566","F",30495548,46912620,53.83
"00567","F",32355932,30825262,-4.73
"00568","F",2087012,4241883,103.25
"00569","M",17146390,13376794,-21.98
"00570","M",4127180,3081718,-25.33
"00571","F",34986344,32391815,-7.42
"00572","F",15118477,58707688,288.32
"00573","F",13157583,23121121,75.72
"00574","F",34306288,15841600,-53.82
"00575","F",13082693,17648055,34.9
"00576","F",29187568,37559096,28.68
"00577","F",21953492,24994718,13.85
"00578","F",63740464,42446459,-33.41
"00579","M",1239479,1103618,-10.96
"00580","F",7028679,8096268,15.19
"00581","F",4067726,4549656,11.85
"00582","F",7418890,5041340,-32.05
"00583","F",3537224,2495478,-29.45
"00584","F",16788295,10647800,-36.58
"00585","F",118356528,95088723,-19.66
"00586","F",36491050,27376770,-24.98
"00587","F",40311770,50193560,24.51
"00588","F",75906716,33617048,-55.71
"00589","F",17252929,13073349,-24.23
"00590","F",2879710,6364675,121.02
"00591","F",2981136,3196872,7.24
"00592","M",8637113,8307875,-3.81
"00593","F",15730900,33400500,112.32
"00594","F",82658320,127732940,54.53
"00595","F",9782590,14274290,45.92
"00596","F",48163960,26074400,-45.86
"00597","F",26725610,17819014,-33.33
"00598","F",4685728,5365307,14.5
"00599","F",23389469,27121553,15.96
"00600","M",16365512,14866728,-9.16
"00601","F",13975840,12585530,-9.95
"00602","M",28560345,46965561,64.44
"00603","F",40375151,19578502,-51.51
"00604","F",12682136,14617316,15.26
"00605","F",2854299,2180181,-23.62
"00606","F",63612970,16368457,-74.27
"00607","F",9476975,8949138,-5.57
"00608","F",65960065,52814275,-19.93
"00609","F",2953622,3569379,20.85
"00610","F",179498280,26198210,-85.4
"00611","M",29060736,30153309,3.76
"00612","F",37287200,11808579,-68.33
"00613","F",33519341,32759596,-2.27
"00614","F",31898096,33972011,6.5
"00615","F",12566592,13367224,6.37
"00616","F",4476580,4315649,-3.59
"00617","F",45644722,53988793,18.28
"00618","F",22438510,50132015,123.42
"00619","F",7816527,7100621,-9.16
"00620","F",43770780,55523890,26.85
"00621","F",3712088,3388825,-8.71
"00622","F",35922687,13200315,-63.25
"00623","F",6014668,6057230,0.71
"00624","F",5944631,5140616,-13.53
"00625","F",5081020,4986280,-1.86
"00626","F",4153124,4511822,8.64
"00627","F",14323877,15395699,7.48
"00628","F",14771418,12847611,-13.02
"00629","F",9635939,11439243,18.71
"00630","F",25102510,9777721,-61.05
"00631","F",32505390,32390340,-0.35
"00632","F",9658275,12968154,34.27
"00633","M",52752022,69865494,32.44
"00634","F",18907790,15643780,-17.26
"00635","F",109985802,41156566,-62.58
"00636","F",18251967,4751100,-73.97
"00637","F",22156337,37309729,68.39
"00638","F",45084633,25731752,-42.93
"00639","F",24505936,27640594,12.79
"00640","F",48731979,83787536,71.94
"00641","M",66686860,109904721,64.81
"00642","F",24771910,29751044,20.1
"00643","F",16726330,15001324,-10.31
"00644","F",10440959,7428404,-28.85
"00645","F",131427452,111969884,-14.8
"00646","F",10558894,10936156,3.57
"00647","F",5260435,6509720,23.75
"00648","F",22942100,17055098,-25.66
"00649","F",5205740,7820310,50.22
"00650","M",4473062,1927803,-56.9
"00651","F",13787780,15336410,11.23
"00652","F",20458960,37249356,82.07
"00653","F",4642774,6561159,41.32
"00654","F",26907741,40162582,49.26
"00655","F",4740047,4292303,-9.45
"00656","F",40681300,66452750,63.35
"00657","F",40972672,33292560,-18.74
"00658","M",12835893,9028750,-29.66
"00659","F",3666883,3914948,6.77
"00660","F",5893630,5742154,-2.57
"00661","F",20028504,21304037,6.37
"00662","M",5616505,6564701,16.88
"00663","M",3957538,5508009,39.18
"00664","F",68794570,65996900,-4.07
"00665","F",12225395,15106023,23.56
"00666","F",3219939,6089735,89.13
"00667","F",32283523,17128722,-46.94
"00668","F",7774216,3595911,-53.75
"00669","M",42473219,10526510,-75.22
"00670","F",124159524,148636368,19.71
"00671","F",7227718,5303783,-26.62
"00672","F",23879230,35120140,47.07
"00673","F",31574400,42565160,34.81
"00674","F",51350707,35177440,-31.5
"00675","M",10255788,11192948,9.14
"00676","F",168453000,67307530,-60.04
"00677","M",7666476,14422150,88.12
"00678","M",4802906,5387795,12.18
"00679","F",7883570,6548648,-16.93
"00680","F",10866572,10049840,-7.52
"00681","M",19254810,9040190,-53.05
"00682","F",6702420,4873353,-27.29
"00683","M",7638867,7471155,-2.2
"00684","F",6886230,6469677,-6.05
"00685","F",7847097,7816499,-0.39
"00686","F",22634624,16029868,-29.18
"00687","F",11158488,16047222,43.81
"00688","F",3381245,4397513,30.06
"00689","F",17641360,39989740,126.68
"00690","F",23584339,48560177,105.9
"00691","F",27990166,34286306,22.49
"00692","F",13693955,9263558,-32.35
"00693","F",58850540,69955060,18.87
"00694","F",33230275,56610614,70.36
"00695","M",21611952,18365730,-15.02
"00696","F",12467920,4832360,-61.24
"00697","M",13942860,20347020,45.93
"00698","F",23927338,45278390,89.23
"00699","F",6653017,4394004,-33.95
"00700","F",6142297,5007039,-18.48
"00701","M",66284698,126335313,90.59
"00702","F",3466463,4653275,34.24
"00703","F",17019050,13886990,-18.4
"00704","F",20101623,47261725,135.11
"00705","F",6139528,7250144,18.09
"00706","F",6075266,5117867,-15.76
"00707","F",22220380,32322790,45.46
"00708","F",42753878,67021783,56.76
"00709","F",24777076,18209348,-26.51
"00710","F",9097461,9518570,4.63
"00711","F",28377970,27343910,-3.64
"00712","F",25387534,35684091,40.56
"00713","F",42729620,52712685,23.36
"00714","F",4846168,6537125,34.89
"00715","F",50958729,55431770,8.78
"00716","F",24305737,28723275,18.17
"00717","F",51695180,25239630,-51.18
"00718","F",18066269,20670000,14.41
"00719","F",5711944,7758745,35.83
"00720","F",10528347,10701465,1.64
"00721","F",4230939,6273001,48.26
"00722","F",6716133,8465574,26.05
"00723","F",8855416,7231917,-18.33
"00724","F",2590388,3566067,37.67
"00725","F",5731523,7351967,28.27
"00726","F",7679376,12657310,64.82
"00727","F",53746825,30533318,-43.19
"00728","F",30220566,73462284,143.09
"00729","F",24516429,19263403,-21.43
"00730","F",32731438,39580263,20.92
"00731","M",10622972,8309869,-21.77
"00732","F",36534998,47728837,30.64
"00733","F",35283393,23760786,-32.66
"00734","F",4230411,5655135,33.68
"00735","F",41280026,42368718,2.64
"00736","F",25579023,25185444,-1.54
"00737","F",4823672,9179443,90.3
"00738","F",2905072,8066889,177.68
"00739","F",4526204,5933107,31.08
"00740","F",6834544,7243106,5.98
"00741","F",6911893,6533864,-5.47
"00742","F",20032678,25963327,29.6
"00743","M",7913560,8141110,2.88
"00744","F",7117990,10333372,45.17
"00745","F",12028526,16436438,36.65
"00746","F",22788717,33672015,47.76
"00747","F",64279159,70474430,9.64
"00748","M",55139230,112883720,104.72
"00749","F",7799426,7894813,1.22
"00750","F",7239889,7832414,8.18
"00751","M",2871303,3853158,34.2
