고객번호,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의약품/의료기기_구매지수,교육/문화용품_구매지수,외식_구매지수,기타_구매지수,디지털/가전_구매지수,가구/인테리어_구매지수,의류_구매지수,전문스포츠/레저_구매지수,패션잡화_구매지수,유아동_구매지수,명품_구매지수
00016,1.0,1.0,6.3,0.0,1.7999999999999998,2.8,0.0,1.7999999999999998,0.0,3.3,0.0,5.0,1.7999999999999998,1.5
00017,1.6,0.8999999999999999,2.1999999999999997,2.1,0.0,1.6,0.0,7.799999999999999,0.5,1.2,0.0,0.3,0.0,9.4
00018,0.0,0.3,0.6,0.0,0.0,0.3,0.0,-4.9,2.4,0.40000000000000013,3.5999999999999996,-5.3,3.3,1.7999999999999998
00019,0.0,0.0,0.6,0.0,0.0,-0.4,0.0,7.0,0.0,0.8999999999999999,6.5,-3.1,0.0,3.5999999999999996
00020,0.6,0.0,0.6,0.0,0.0,-0.7,0.0,0.0,2.1,2.1,3.0,1.1,1.2,0.0
00021,1.2999999999999998,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,-4.9,9.6,5.9,8.899999999999999,-2.6999999999999997,1.6,0.0
00022,-0.7,1.2999999999999998,1.7999999999999998,0.0,0.0,0.6,0.0,1.7999999999999998,0.0,1.7999999999999998,0.0,5.3999999999999995,0.0,-5.6
00023,0.3,-4.6000000000000005,0.8999999999999999,0.0,1.5,0.3,0.0,1.7999999999999998,8.1,0.3,8.399999999999999,0.3,1.5,7.4
00024,0.3,1.0,1.0,0.0,0.0,3.9,0.0,0.0,3.3,6.8999999999999995,-0.09999999999999998,6.8,6.2,1.7999999999999998
00025,-0.4,1.2999999999999998,0.20000000000000007,-3.5,0.0,0.3,0.0,0.0,0.0,1.6,0.0,0.6,0.0,-1.1
00026,1.2999999999999998,0.3,-0.09999999999999998,1.5,-1.7000000000000002,0.0,0.0,7.6,6.2,-0.7,1.7999999999999998,1.6,-2.0,-4.9
00027,1.2999999999999998,1.2999999999999998,3.4,0.0,0.0,0.3,0.0,0.0,1.7999999999999998,0.3,0.0,8.8,2.4,-2.8000000000000003
00028,0.0,1.6,2.0,0.0,1.2,1.5,0.0,0.0,0.0,-1.2999999999999998,0.0,-1.0,0.0,0.0
00029,1.2999999999999998,0.0,0.3,8.1,0.0,0.3,0.0,2.4,1.1,0.3,0.0,0.0,-1.1,4.5
00030,1.0,0.0,1.2999999999999998,0.0,-1.6,1.0,0.0,6.5,2.6999999999999997,0.6,0.0,2.3,0.0,4.5
00031,0.0,0.0,0.3,0.0,0.0,1.2999999999999998,0.0,1.5,1.7999999999999998,1.0,0.0,0.20000000000000007,1.6,0.0
00032,1.2999999999999998,1.0,1.6,1.7999999999999998,-3.5,1.0,0.0,0.0,0.0,3.3,1.5,9.3,-2.5,0.0
00033,1.0,1.2999999999999998,0.3,2.1,0.0,-2.6999999999999997,0.0,0.0,-1.7000000000000002,3.9,-3.5,-1.2999999999999998,5.0,0.0
00034,0.0,-0.7,0.0,0.0,0.0,-0.7,0.0,0.0,8.8,1.2999999999999998,0.0,-3.8999999999999995,0.0,0.0
00035,0.6,0.0,0.6,0.0,0.0,1.2999999999999998,0.0,1.7999999999999998,7.799999999999999,0.3,1.7999999999999998,0.6,0.0,2.1
00036,1.2999999999999998,1.0,1.6,1.2,0.0,1.0,0.0,-2.2,-3.8,8.8,0.0,6.6,3.9,0.0
00037,1.2999999999999998,0.3,2.5999999999999996,0.0,0.0,2.0,0.0,7.0,0.0,0.3,0.0,3.5999999999999996,3.0,1.7999999999999998
00038,1.0,0.3,0.3,1.2,6.8,1.0,0.0,6.3,7.1,0.8999999999999999,-2.6999999999999997,1.2999999999999998,2.3,0.0
00039,0.0,0.0,2.1999999999999997,0.0,0.0,1.0,0.0,0.0,-4.199999999999999,-0.4,0.0,2.3,1.5,2.1
00040,1.0,0.0,0.3,0.0,0.0,1.2999999999999998,0.0,11.3,2.1,0.3,3.3,0.3,3.0,1.7999999999999998
00041,2.3,0.3,2.3,3.3,0.0,-0.7,-4.199999999999999,1.7999999999999998,2.1,-0.8000000000000003,0.0,3.5999999999999996,0.0,1.7999999999999998
00042,0.3,1.0,0.0,3.9,4.0,3.3,0.0,0.0,1.1,0.8999999999999999,2.6999999999999997,-2.4,-3.5,0.0
00043,0.3,1.0,0.6,-2.9999999999999996,1.2,3.3,0.0,0.0,0.0,1.5999999999999999,1.2,1.5,0.0,0.0
00044,1.0,0.3,4.7,0.0,0.0,1.2999999999999998,0.0,3.3,2.4,-0.09999999999999998,0.0,-1.4,0.0,2.1999999999999997
00045,-0.4,1.0,0.8999999999999999,0.0,2.6999999999999997,1.2999999999999998,0.0,0.0,-4.199999999999999,0.6,2.1,-4.6000000000000005,1.2,9.1
00046,1.0,0.6,0.8999999999999999,0.0,0.0,1.2999999999999998,0.0,5.9,0.0,0.6,6.0,2.3,0.0,1.6999999999999997
00047,0.0,0.0,-0.4,-2.4,8.0,-0.4,1.5,7.5,1.5,0.8999999999999999,1.4,2.9,-3.8999999999999995,2.1
00048,1.2999999999999998,0.3,1.0,0.0,5.0,1.2999999999999998,-2.0,-2.6,9.1,-0.4,-3.5,0.6,2.4,9.1
00049,1.2999999999999998,0.3,-0.09999999999999998,0.0,0.0,1.2999999999999998,0.0,8.0,8.1,0.3,0.0,2.1,3.3,3.7
00050,0.3,1.2999999999999998,0.3,0.0,2.1,0.0,6.5,0.0,3.1999999999999997,0.6,3.5999999999999996,-1.7999999999999998,2.3,-2.4
00051,0.0,0.3,0.3,-3.1,-1.2999999999999998,-0.09999999999999998,1.7999999999999998,2.5,-2.0999999999999996,1.1,0.0,0.6,0.6,0.0
00052,1.0,1.0,1.0,0.0,3.0,0.6,0.0,0.7999999999999999,2.1,-0.7,0.0,0.6,7.799999999999999,7.0
00053,0.3,0.0,4.1,0.0,0.0,1.2999999999999998,0.0,6.3,0.0,-0.4,1.5,-2.2,0.0,5.3999999999999995
00054,0.0,0.3,0.6,0.0,0.0,1.0,0.0,0.0,0.0,-0.3999999999999999,0.0,4.0,0.0,0.0
00055,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.7999999999999998,-2.0,-0.7000000000000002,2.1999999999999997,0.0,0.0
00056,0.3,0.3,0.20000000000000007,1.5,1.5,0.6,0.0,1.5,4.2,0.6,0.0,-1.1,2.6999999999999997,2.8
00057,1.2999999999999998,0.0,1.6,0.0,5.199999999999999,0.0,0.0,0.0,1.5,3.0,1.7999999999999998,1.5,0.0,1.5
00058,1.2999999999999998,0.3,0.8999999999999999,0.0,3.4,0.0,0.0,-1.0,1.7999999999999998,0.3,1.7999999999999998,1.7999999999999998,3.5999999999999996,-0.7
00059,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.3,0.0,-1.6000000000000005,0.0,3.5999999999999996
00060,1.2999999999999998,1.0,2.3,3.4,2.5999999999999996,1.2999999999999998,6.0,8.1,2.3,0.6,3.3,4.6,6.5,0.0
00061,1.2999999999999998,0.0,0.6,0.0,1.5,0.3,0.0,1.5,0.40000000000000013,-0.7,3.3,3.5999999999999996,1.7999999999999998,1.7999999999999998
00062,1.0,0.0,1.6,0.0,-3.5,0.6,0.0,1.5,1.7999999999999998,0.6,7.799999999999999,1.2,2.3,5.0
00063,1.0,0.0,0.3,0.0,0.0,1.2999999999999998,0.0,0.0,0.0,8.1,1.5,6.5,0.0,0.0
00064,-0.7,-0.7,0.8999999999999999,0.0,-1.2999999999999998,1.7999999999999998,0.0,0.0,5.5,-1.6,0.0,0.0,0.0,0.0
00065,0.0,-0.4,0.3,0.0,6.0,0.8999999999999999,7.3,-1.9000000000000004,3.5999999999999996,2.1999999999999997,3.3,-2.9000000000000004,1.2,3.3
00066,1.0,0.3,0.3,0.0,-3.5,1.2999999999999998,0.0,-2.4,1.5,-0.4,6.0,3.7,-0.8999999999999999,0.0
00067,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,3.5999999999999996,1.5,1.5,0.0,0.0
00068,0.3,1.2999999999999998,0.3,0.0,7.5,0.3,1.0,4.8,2.1,-0.4,0.0,0.6,9.899999999999999,-5.3
00069,1.0,0.0,0.0,2.1999999999999997,1.5,0.0,0.0,0.0,0.0,2.5,4.0,1.5,-2.8,0.0
00070,0.7999999999999999,-4.199999999999999,4.7,-4.199999999999999,0.0,0.6,0.0,0.0,0.0,1.6,1.5,1.4,1.5,0.3
00071,0.0,0.0,0.3,0.0,1.5,3.3,0.0,0.0,1.7999999999999998,5.5,0.0,0.0,0.0,0.0
00072,1.0,1.2999999999999998,1.0,-2.4,-2.9000000000000004,2.1,6.0,0.0,1.5,-0.09999999999999998,1.7999999999999998,4.3,6.3,0.0
00073,-0.09999999999999998,2.4,1.2999999999999998,-2.8,-3.7,3.1,0.0,5.199999999999999,-2.5000000000000004,-0.4,0.0,0.3,2.1,1.2999999999999998
00074,0.0,0.3,0.6,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998,2.4,-0.4,0.0,-0.4,1.5,-1.1
00075,1.0,-0.4,0.3,0.0,0.0,0.3,0.0,0.0,0.0,-1.2999999999999998,0.0,6.8,0.0,0.0
00076,0.0,0.0,0.6,0.0,4.2,2.5999999999999996,0.0,1.7999999999999998,3.9,1.0,0.0,-0.8,2.5,3.5999999999999996
00077,1.0,0.0,0.3,0.0,-3.1,1.0,0.0,0.0,0.0,0.6,1.5,-0.4,3.0,4.6
00078,0.3,0.3,1.6,-4.9,0.0,0.3,0.0,7.799999999999999,-0.09999999999999998,0.3,1.7999999999999998,0.3,0.0,0.3
00079,1.2999999999999998,0.6,0.6,0.0,-2.3,1.0,1.7999999999999998,0.0,1.5,2.8,6.8,3.3,1.7999999999999998,0.0
00080,0.0,1.2999999999999998,1.2999999999999998,0.0,0.0,0.3,0.0,1.2,-3.2,2.1,1.5,6.5,1.5,0.0
00081,1.0,0.0,1.2999999999999998,0.0,0.0,0.3,-2.4,9.2,-2.8000000000000003,-0.7,6.5,3.5999999999999996,-2.3,2.1
00082,-0.7,0.3,1.9,7.0,1.5,0.0,1.7999999999999998,5.0,5.9,0.6,6.0,0.8999999999999999,7.3,5.199999999999999
00083,1.0,0.0,1.6,0.0,0.0,1.2999999999999998,0.0,8.0,2.4,1.6,3.3,3.1,0.0,2.1
00084,0.3,-0.09999999999999998,0.3,0.0,1.2,0.0,0.0,-0.40000000000000036,2.2,-0.7,-2.4,0.6,2.5,2.1
00085,2.0,1.6,0.6,0.0,0.0,2.3,0.0,6.0,0.0,1.9,5.0,1.1,0.0,0.0
00086,1.0,0.0,0.3,1.7999999999999998,-1.0,1.0,0.0,7.0,8.399999999999999,0.3,3.3,6.6,2.4,1.5
00087,0.3,0.6,2.5999999999999996,0.0,0.0,0.3,-2.0,-3.2,3.1999999999999997,9.6,0.0,1.6,5.0,8.0
00088,0.3,0.0,1.6,0.0,1.2,1.2999999999999998,0.0,7.799999999999999,1.7999999999999998,-0.7,3.4,2.9,8.0,-4.199999999999999
00089,0.3,1.0,0.6,1.7999999999999998,5.5,0.6,0.0,5.8,0.8999999999999999,-0.09999999999999998,1.7999999999999998,5.3,6.4,0.0
00090,0.3,2.3,0.3,0.0,0.0,0.3,0.0,6.8999999999999995,2.4,-0.4,1.7999999999999998,2.6999999999999997,3.5999999999999996,0.0
00091,0.3,0.0,0.3,0.0,3.7,1.0,0.0,0.0,2.8,0.3,0.0,6.0,1.7999999999999998,0.0
00092,1.0,0.0,0.0,6.0,7.0,1.0,7.5,3.5999999999999996,3.7,0.3,3.5999999999999996,2.0,1.2999999999999998,2.5
00093,1.6,2.6999999999999997,8.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,1.4,-2.6999999999999997,4.5
00094,2.0,3.3,1.0,0.0,1.5,3.8,0.0,2.1,-2.0,7.0,0.0,7.3,1.7999999999999998,10.1
00095,0.0,0.0,0.3,0.0,-0.10000000000000009,0.3,0.0,0.0,2.6999999999999997,0.6,0.0,2.8,4.0,1.5
00096,0.3,0.3,0.0,0.0,0.0,2.3,0.0,1.5,0.0,2.5999999999999996,7.799999999999999,-2.0999999999999996,0.0,1.7999999999999998
00097,0.6,0.6,0.3,1.2,3.3,2.9,0.0,0.0,1.6999999999999997,0.0,10.399999999999999,0.8999999999999999,3.1,-1.7999999999999998
00098,0.3,0.0,-0.4,0.0,1.7999999999999998,1.2999999999999998,0.0,-3.5,3.3,1.6,1.5,-2.4,6.0,3.9
00099,0.0,0.3,1.0,0.0,1.7999999999999998,0.6,1.0,3.3,4.2,0.6,3.0,0.6,7.5,1.0
00100,1.2999999999999998,1.2999999999999998,1.9,0.0,0.0,1.6,0.0,5.6,2.1,0.3,0.0,0.6,-0.7000000000000002,3.5999999999999996
00101,0.0,0.3,0.20000000000000007,0.0,0.0,1.6,0.0,0.0,0.0,2.3,0.0,-2.4,0.0,0.0
00102,1.2999999999999998,0.0,0.0,1.5,0.0,0.6,0.0,-1.2,-2.0,-0.09999999999999998,1.7999999999999998,-1.1,0.0,0.6
00103,0.0,0.0,1.2999999999999998,0.0,0.0,3.3,0.0,0.0,0.0,-3.2,1.5,3.0,0.0,0.0
00104,1.0,0.3,0.3,0.0,6.0,4.3,0.0,0.0,0.0,4.6,0.0,1.2,3.3,0.0
00105,1.0,0.0,0.0,1.5,1.2,8.5,8.8,-1.6,-1.4,2.3,1.7999999999999998,4.6,7.5,0.0
00106,1.0,0.0,0.6,1.7999999999999998,-2.0,1.2999999999999998,0.0,0.0,2.1,-0.7,3.5999999999999996,2.8,1.7999999999999998,3.9
00107,0.8999999999999999,1.0,0.6,0.0,0.0,0.0,0.0,1.2000000000000002,0.6000000000000001,0.6,7.799999999999999,3.1,0.09999999999999964,0.0
00108,0.0,1.0,1.6,0.0,8.8,1.2999999999999998,0.0,-4.199999999999999,0.0,0.0,1.5,-0.09999999999999998,7.5,1.2
00109,0.0,0.3,0.3,4.0,0.0,2.5999999999999996,0.0,5.0,5.0,-0.8000000000000003,0.0,0.8999999999999999,2.1,0.0
00110,0.0,0.6,1.6,0.0,1.7999999999999998,0.0,0.0,2.5,-1.0,0.6,0.0,3.1,1.0,0.0
00111,0.0,0.3,1.0,0.0,1.5,1.7999999999999998,0.0,0.0,1.7999999999999998,-3.2,0.0,5.5,0.0,0.0
00112,0.0,1.2999999999999998,1.0,0.0,7.699999999999999,0.6,0.0,9.8,-6.3,0.0,0.0,1.2999999999999998,8.5,0.0
00113,0.0,0.0,0.3,-4.199999999999999,6.6,0.0,0.0,-1.7999999999999998,-1.4999999999999998,-0.7,5.0,6.3,2.0,7.3
00114,-0.4,0.3,-0.4,0.0,0.0,0.6,0.0,0.0,0.0,1.6,-2.9999999999999996,-2.9000000000000004,3.3,-2.4
00115,1.0,0.0,1.2999999999999998,0.0,0.0,1.0,0.0,2.6999999999999997,2.6999999999999997,-3.5999999999999996,0.0,2.6999999999999997,-2.8,9.7
00116,0.0,0.3,0.6,0.0,0.0,1.7999999999999998,0.0,0.0,-4.199999999999999,4.6,0.0,-2.6999999999999997,-2.8,0.0
00117,0.6,1.6,1.2999999999999998,7.3,0.0,0.0,0.0,2.4,2.1,-3.1,1.5,1.5,0.0,3.9
00118,2.3,1.2999999999999998,0.6,0.0,1.2,1.0,0.0,2.1,0.9999999999999998,0.3,0.0,0.20000000000000007,-4.199999999999999,1.6
00119,0.3,0.3,1.2999999999999998,1.7999999999999998,1.5,0.3,0.0,3.5999999999999996,4.5,0.3,0.0,0.4999999999999999,1.2999999999999998,7.3
00120,1.2999999999999998,0.0,0.6,-3.1,0.0,0.0,2.1,2.1,-2.0999999999999996,0.0,0.0,1.6,0.0,9.899999999999999
00121,0.3,1.2999999999999998,3.8,0.0,8.8,0.6,0.0,0.0,2.1,0.8999999999999999,-4.199999999999999,7.5,2.8,-2.6999999999999997
00122,0.0,0.6,1.0,1.5,2.8,0.0,1.7999999999999998,-1.5,4.5,0.3,10.2,7.3,2.0,1.7999999999999998
00123,0.0,0.3,0.6,-2.4,0.0,1.5,0.0,0.0,6.5,1.5,-2.3,-2.0,6.3,0.0
00124,0.0,1.0,0.3,0.0,1.5,1.2999999999999998,0.0,-1.3000000000000007,-4.1,-0.4,5.0,-0.09999999999999998,0.0,3.9
00125,0.0,0.3,-0.4,0.0,1.2,0.3,0.0,0.0,0.0,-0.4,3.5999999999999996,-2.4,0.0,-1.3000000000000007
00126,1.0,1.0,0.8999999999999999,2.4,0.8999999999999999,0.0,0.0,2.6999999999999997,2.1,-0.09999999999999998,1.5,3.0,0.0,2.1
00127,1.2999999999999998,1.6,-0.8,0.0,0.0,0.0,0.0,0.0,3.0,-3.8999999999999995,0.0,-0.19999999999999996,1.2,1.5
00128,0.0,1.2999999999999998,0.6,1.5,0.0,0.0,0.0,0.0,1.5,1.7999999999999998,1.1,-3.5,1.2,0.0
00129,0.0,1.2999999999999998,0.20000000000000007,1.7999999999999998,1.5,5.0,0.0,0.0,3.3,1.5,-1.4,2.5,1.5,0.0
00130,0.3,-0.4,0.6,0.0,0.0,0.3,0.0,-2.0,4.5,-0.4,3.0,-1.1,2.4,-2.8000000000000003
00131,1.2999999999999998,0.6,1.2999999999999998,0.0,0.0,1.0,0.0,3.9,7.799999999999999,0.6,0.0,0.6,6.3,7.1
00132,0.3,-0.7,-0.4,1.5,-3.2,5.0,1.5,0.0,1.7999999999999998,0.3,-4.9,0.8999999999999999,-1.2999999999999998,0.0
00133,1.2999999999999998,0.3,0.3,1.5,1.5,1.2999999999999998,0.0,1.7999999999999998,1.7999999999999998,6.8999999999999995,1.2,2.5999999999999996,0.0,6.0
00134,1.6,0.3,0.6,0.0,0.0,1.0,0.0,-4.1,1.2999999999999998,-0.4,0.6,0.0,3.9,1.2999999999999998
00135,1.0,0.3,2.0,0.0,0.0,1.2999999999999998,0.0,1.5,0.0,1.9,0.0,7.799999999999999,1.5,0.0
00136,0.3,1.0,8.399999999999999,0.0,0.3,2.3,0.0,1.5,8.1,2.6999999999999997,1.5,7.3,1.7999999999999998,0.0
00137,0.3,0.6,-0.09999999999999998,-1.7000000000000002,1.5,2.0,0.0,3.1,-2.5000000000000004,0.3,-2.0999999999999996,0.6,2.3,1.9
00138,0.6,0.3,0.3,7.0,2.6999999999999997,0.3,0.0,1.7999999999999998,5.0,0.3,0.0,0.3,4.6,-1.0
00139,1.2999999999999998,0.3,0.0,1.7999999999999998,1.5,0.3,-3.5,1.5,3.4,3.1,6.5,1.6,1.5,-3.5999999999999996
00140,1.6,0.3,0.0,0.0,-2.8,0.8999999999999999,0.0,-0.7,1.7999999999999998,-0.7,1.7999999999999998,1.7999999999999998,1.7999999999999998,0.6
00141,0.0,1.0,1.2999999999999998,1.5,2.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0
00143,0.0,0.0,1.2999999999999998,1.7999999999999998,0.6,-2.9000000000000004,0.0,0.0,0.0,2.3,1.7999999999999998,2.1,2.6999999999999997,0.0
00144,0.3,-0.7,1.2999999999999998,1.2,0.6,8.1,2.1,1.5,1.5,9.1,1.7999999999999998,7.799999999999999,4.8,2.1
00145,1.6,0.3,2.3,0.0,0.0,0.3,0.0,9.7,-2.0999999999999996,0.3,11.8,2.1,3.9,3.1
00146,-2.9999999999999996,1.2999999999999998,0.8999999999999999,0.0,0.0,0.3,0.0,1.5,1.6999999999999997,-0.4,0.0,-0.4,4.3,0.0
00147,1.0,0.3,0.3,0.0,2.0,0.3,2.1,3.3,7.1,0.0,0.6,0.3,3.5999999999999996,-1.1
00148,1.0,0.3,0.3,6.2,3.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0
00149,0.3,0.0,1.1,0.0,1.5,2.0,0.0,-3.2,2.4,0.6,0.0,0.8999999999999999,0.0,3.5999999999999996
00150,0.3,0.3,0.3,1.7999999999999998,0.3,1.4,0.0,2.5,-2.8000000000000003,-0.09999999999999998,4.8,1.1,0.0,1.7999999999999998
00151,0.0,0.0,-0.4,0.0,6.8,0.6,0.0,2.6999999999999997,2.4,0.0,0.0,-1.1,4.8999999999999995,8.0
00152,1.0,-0.4,-0.4,0.0,1.5,0.0,0.0,2.4,7.4,0.6,1.7999999999999998,0.6,0.0,1.5
00153,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,-3.5,0.20000000000000007,0.0,3.3,-1.7000000000000002,0.0
00154,1.0,0.3,1.2999999999999998,0.0,0.0,1.2999999999999998,0.0,0.0,0.0,3.5999999999999996,0.0,-2.6999999999999997,0.0,2.4
00155,0.0,0.0,1.0,0.0,6.0,1.6,0.0,-2.5000000000000004,2.6999999999999997,0.0,1.7999999999999998,-2.9000000000000004,0.0,8.5
00156,1.2999999999999998,0.0,1.0,0.0,0.0,2.3,0.0,2.5999999999999996,-4.9,-0.09999999999999998,1.5,1.6,0.20000000000000007,1.1
00157,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.7999999999999998,7.3,0.0,-4.199999999999999
00158,0.6,0.6,1.2999999999999998,0.0,0.0,0.0,0.0,6.0,3.3,6.5,0.0,2.6999999999999997,0.0,0.0
00159,1.0,0.3,0.6,0.0,1.7999999999999998,1.2999999999999998,1.7999999999999998,3.9,4.2,0.6,-0.5999999999999996,0.3,2.0,4.5
00160,0.0,0.0,0.3,0.0,0.0,1.0,0.0,1.5,8.6,0.3,6.0,1.2,1.7999999999999998,3.3
00161,1.2999999999999998,-0.7,-0.4,0.0,0.0,0.0,0.0,0.0,-2.9,-0.4,3.9,0.20000000000000007,0.8999999999999999,-0.09999999999999998
00162,0.0,0.3,1.2999999999999998,0.0,1.5,0.0,0.0,2.1,8.1,0.3,0.0,3.5999999999999996,7.3,1.7999999999999998
00163,0.0,1.0,0.0,3.4,-2.4,0.8999999999999999,0.0,-1.6,0.0,4.3,0.0,7.5,1.7999999999999998,0.0
00164,0.3,2.0,7.3,0.0,5.0,1.0,0.0,3.5999999999999996,3.3,-0.4,1.5,-3.1,7.0,0.3
00165,1.2999999999999998,1.2999999999999998,3.1,0.0,0.0,0.6,0.0,3.9,4.6,-0.4,1.7999999999999998,0.8999999999999999,-2.6999999999999997,3.5999999999999996
00166,2.0,1.6,2.5999999999999996,3.3,7.1,1.2999999999999998,0.0,-1.0,-1.1,0.3,8.1,0.6,3.0,1.5
00167,1.0,1.0,1.2999999999999998,0.0,0.0,0.3,0.0,1.5,9.4,0.3,0.0,-2.8000000000000003,0.0,9.4
00168,1.0,1.2999999999999998,1.6,0.0,0.0,1.2999999999999998,0.0,2.4,4.2,0.3,-2.4,1.6,1.2999999999999998,8.1
00169,1.2999999999999998,1.2999999999999998,2.3,6.0,1.2,7.799999999999999,6.0,0.0,-0.8999999999999999,1.1,-4.199999999999999,3.5999999999999996,3.2,2.5
00170,0.3,1.0,1.0,0.0,1.7999999999999998,0.0,0.0,0.0,6.8,-2.0,-2.3,6.5,5.0,0.0
00171,1.2999999999999998,1.0,1.6,3.3,1.2,1.2999999999999998,0.0,10.0,-2.0999999999999996,0.6,1.5,9.1,4.0,6.0
00172,0.3,0.0,0.0,0.0,4.0,1.2999999999999998,0.0,6.0,0.0,-0.7,1.5,3.0,7.5,0.0
00173,0.0,1.2999999999999998,0.0,1.2,-3.5,2.4,0.0,1.7999999999999998,3.0,0.6,1.5,2.3,7.1,1.5
00175,0.0,0.0,1.0,9.3,0.8999999999999999,2.5,1.5,0.0,-2.6999999999999997,5.3,2.6999999999999997,2.5,5.0,0.0
00176,1.0,0.3,1.6,4.0,6.5,0.5,0.0,1.7999999999999998,0.0,1.5,0.0,5.5,1.6,0.0
00177,1.2999999999999998,0.3,0.3,0.0,0.0,-0.7,0.0,8.8,7.699999999999999,0.6,0.0,0.3,-1.7000000000000002,0.0
00178,0.3,0.0,0.3,0.0,0.0,0.8999999999999999,1.7999999999999998,0.0,-1.4,-0.2999999999999998,0.0,2.4,1.5,-4.199999999999999
00179,0.3,0.0,1.0,0.0,1.2,0.3,0.0,2.1,-2.4,-0.4,0.0,-0.4,0.09999999999999964,7.5
00180,0.3,0.0,0.3,0.0,3.2,1.0,0.0,2.1,2.1,3.5999999999999996,0.0,2.3,0.0,3.4
00181,1.0,1.0,1.6,0.0,2.1,0.6,0.0,2.4,-3.4000000000000004,0.0,0.0,0.3,-3.3,1.7999999999999998
00182,1.2999999999999998,0.0,0.3,1.5,1.5,0.3,0.0,-2.8000000000000003,3.9,0.0,5.3999999999999995,9.1,1.5,9.1
00183,0.3,0.0,1.0,2.1,-0.7000000000000002,1.7999999999999998,0.0,1.5,2.5999999999999996,-3.2,-4.199999999999999,-2.0,-2.9000000000000004,0.0
00184,0.0,0.0,0.6,0.0,7.3,1.2999999999999998,6.0,1.7999999999999998,5.7,-3.1,0.0,1.2999999999999998,1.6999999999999997,3.9
00185,3.3,3.3,1.2999999999999998,8.0,1.7999999999999998,3.3,1.7999999999999998,0.0,5.3,6.5,3.5999999999999996,6.3,6.5,0.0
00186,0.3,1.0,1.6,0.0,5.0,0.3,0.0,-5.0,2.6999999999999997,1.2999999999999998,1.2,2.1,1.2,3.9
00187,0.0,0.3,1.2999999999999998,0.0,0.0,0.6,0.0,5.3,6.0,0.40000000000000013,0.0,-0.4,0.0,-4.9
00188,1.2999999999999998,0.0,1.0,1.7999999999999998,5.5,7.799999999999999,0.0,0.0,-4.199999999999999,-0.10000000000000009,0.0,7.5,1.5,0.0
