고객번호,가공식품_방문지수,신선식품_방문지수,일상용품_방문지수,의약품/의료기기_방문지수,교육/문화용품_방문지수,외식_방문지수,기타_방문지수,디지털/가전_방문지수,가구/인테리어_방문지수,의류_방문지수,전문스포츠/레저_방문지수,패션잡화_방문지수,유아동_방문지수,명품_방문지수
00103,3.6,3.6,4.4,0.0,0.0,5.4,0.0,0.0,0.0,3.4,1.8,5.4,0.0,0.0
00104,1.8,4.6,1.8,0.0,1.0,6.3999999999999995,0.0,0.0,0.0,4.6,0.0,1.8,3.6,0.0
00105,0.8,0.0,3.6,1.8,3.6,4.8,2.8000000000000003,2.6,15.0,7.4,3.6,7.2,5.6000000000000005,0.0
00106,4.6,5.4,3.6,1.8,6.2,6.3999999999999995,0.0,0.0,3.6,5.4,7.2,7.2,3.6,7.2
00107,3.6,1.8,3.4,0.0,0.0,7.2,0.0,3.6,14.200000000000001,5.4,6.3999999999999995,12.6,8.0,0.0
00108,3.6,0.0,3.6,0.0,3.8000000000000003,5.800000000000001,0.0,0.8,0.0,9.0,1.8,12.4,3.8000000000000003,1.8
00109,1.8,0.8,6.2,5.4,0.0,4.4,0.0,2.0,1.0,7.0,0.0,1.8,8.6,0.0
00110,2.6,3.6,4.6,0.0,1.8,6.2,0.0,5.4,6.2,2.8000000000000003,0.0,10.0,5.2,0.0
00111,0.0,1.8,6.3999999999999995,0.0,3.6,3.6,0.0,0.0,5.4,2.6,0.0,2.8000000000000003,0.0,0.0
00112,1.0,3.0,5.6000000000000005,0.0,4.6,4.8,0.0,5.800000000000001,6.0,5.4,0.0,7.4,3.8000000000000003,0.0
00113,0.0,1.8,1.8,0.8,10.4,6.3999999999999995,0.0,7.0,8.8,5.2,11.200000000000001,8.4,5.4,12.200000000000001
00114,5.2,5.4,2.6,0.0,0.0,11.8,0.0,0.0,0.0,13.8,3.4,7.0,3.6,2.6
00115,5.4,2.6,5.2,0.0,0.0,8.2,0.0,7.2,7.2,6.0,0.0,12.6,0.8,17.200000000000003
00116,3.6,1.8,2.6,0.0,0.0,1.8,0.0,0.0,2.4000000000000004,6.3999999999999995,0.0,6.2,0.8,0.0
00117,2.6,2.6,7.2,8.2,0.0,5.2,0.0,12.6,5.4,7.8,1.8,1.8,0.0,7.2
00118,7.4,6.3999999999999995,3.6,0.0,1.8,5.4,0.0,3.6,12.4,6.2,0.0,7.0,1.6,7.6000000000000005
00119,3.6,1.8,6.3999999999999995,1.8,7.2,6.2,0.0,3.6,18.0,6.3999999999999995,0.0,7.0,5.2,10.200000000000001
00120,6.3999999999999995,1.8,6.2,3.4,0.0,4.6,3.6,3.6,4.4,1.8,0.0,5.800000000000001,0.0,12.000000000000002
00121,3.6,2.8000000000000003,6.6,0.0,14.8,5.4,0.0,0.0,3.6,4.6,0.8,8.4,6.2,2.6
00122,4.6,6.3999999999999995,3.8000000000000003,1.8,13.0,2.0,1.8,8.0,16.2,6.3999999999999995,7.4,5.800000000000001,3.8000000000000003,3.6
00123,0.0,2.6,3.6,2.6,0.0,1.8,0.0,0.0,6.3999999999999995,2.6,2.6,5.0,6.3999999999999995,0.0
00124,1.8,2.8000000000000003,5.2,0.0,1.8,0.0,0.0,6.2,5.0,7.2,1.0,7.2,0.0,10.8
00125,3.6,3.4,5.2,0.0,1.8,5.2,0.0,0.0,0.0,6.2,7.2,4.4,0.0,6.2
00126,1.8,3.6,4.6,8.0,1.8,6.2,0.0,5.4,1.8,8.0,1.8,7.2,0.0,5.4
00127,4.6,6.3999999999999995,12.4,0.0,0.0,5.6000000000000005,0.0,0.0,3.6,6.0,0.0,6.2,1.8,1.8
00128,1.8,3.8000000000000003,6.2,1.8,0.0,0.0,0.0,0.0,3.6,7.2,5.4,2.6,1.8,0.0
00129,1.8,2.0,4.2,1.8,7.0,2.0,0.0,0.0,10.8,1.8,8.0,4.6,5.4,0.0
00130,1.6,1.8,2.6,0.0,0.0,5.2,0.0,2.6,10.8,10.600000000000001,3.6,8.8,9.6,8.0
00131,4.4,7.2,1.8,0.0,0.0,2.8000000000000003,0.0,5.6000000000000005,5.6000000000000005,10.200000000000001,0.0,5.4,2.0,13.6
00132,6.2,5.2,7.0,3.6,7.0,1.0,3.6,0.0,1.8,4.6,1.6,3.4,2.6,0.0
00133,1.8,1.8,1.0,1.8,3.6,4.6,0.0,5.4,1.8,12.799999999999999,3.6,8.2,0.0,1.0
00134,7.4,3.6,4.6,0.0,0.0,3.8000000000000003,0.0,5.0,12.4,7.2,5.6000000000000005,7.6000000000000005,7.0,7.6000000000000005
00135,1.8,1.8,2.8000000000000003,0.0,0.0,7.2,0.0,1.8,0.0,7.4,0.0,6.6,1.8,0.0
00136,4.4,6.3999999999999995,10.0,0.0,11.8,10.200000000000001,0.0,1.8,7.4,16.2,1.8,10.200000000000001,7.2,0.0
00137,1.8,3.6,4.4,2.6,1.8,5.800000000000001,0.0,7.2,8.0,3.6,6.2,5.4,3.8000000000000003,13.8
00138,4.6,4.6,2.8000000000000003,2.0,3.6,3.6,0.0,1.8,4.8,8.2,0.0,5.2,2.8000000000000003,11.600000000000001
00139,2.0,3.6,6.3999999999999995,3.6,1.8,5.2,0.8,1.8,13.6,13.8,3.8000000000000003,11.8,1.8,6.8
00140,0.8,0.8,7.2,0.0,0.8,5.4,0.0,4.4,5.4,3.6,1.8,7.2,1.8,5.4
00141,2.8000000000000003,2.6,2.6,1.8,8.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,1.8,0.0
00143,0.0,0.0,5.6000000000000005,3.6,3.6,5.2,0.0,0.0,0.0,8.0,10.600000000000001,8.0,9.0,0.0
00144,4.2,2.4000000000000004,7.2,3.6,7.4,7.4,1.8,3.6,5.4,11.200000000000001,5.4,6.6,12.799999999999999,3.6
00145,2.6,2.6,9.2,0.0,0.0,4.4,0.0,16.4,8.0,5.4,19.200000000000003,6.3999999999999995,3.6,15.0
00146,3.4,5.4,9.0,0.0,0.0,2.6,0.0,1.8,10.600000000000001,4.4,0.0,8.0,10.0,5.2
00147,0.0,1.8,2.8000000000000003,0.0,5.6000000000000005,6.2,1.8,7.2,11.0,9.0,7.4,3.8000000000000003,7.2,8.6
00148,0.0,0.0,2.6,3.8000000000000003,1.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0
00149,1.0,4.4,7.2,0.0,1.8,6.3999999999999995,0.0,2.6,5.4,4.6,0.0,9.0,0.0,5.4
00150,0.8,2.6,2.8000000000000003,1.8,7.4,4.4,0.0,2.8000000000000003,13.0,12.6,5.4,8.0,0.0,3.6
00151,0.8,1.8,4.6,0.0,2.8000000000000003,2.6,0.0,9.0,5.4,8.2,0.0,6.0,6.2,1.0
00152,0.8,3.2,4.2,0.0,1.8,4.6,0.0,5.4,10.0,2.8000000000000003,1.8,8.4,0.0,3.6
00153,2.8000000000000003,0.8,5.4,0.0,0.0,3.6,0.0,0.0,0.8,7.0,0.0,7.2,5.2,0.0
00154,5.6000000000000005,3.8000000000000003,6.2,0.0,0.0,3.6,0.0,0.0,0.0,9.0,0.0,3.4,0.0,10.600000000000001
00155,3.6,0.0,1.8,0.0,4.0,8.0,0.0,7.0,6.6,4.6,1.8,1.6,0.0,4.6
00156,2.6,1.8,4.4,0.0,0.0,3.6,0.0,7.2,0.8,4.4,1.8,9.2,13.0,3.4
00157,1.8,0.0,1.8,0.0,0.0,3.6,0.0,0.0,0.0,5.4,1.8,4.0,0.0,0.8
00158,4.6,2.8000000000000003,4.6,0.0,10.0,2.6,0.0,2.0,5.4,2.8000000000000003,0.0,7.2,0.0,0.0
00159,7.2,6.2,8.0,0.0,5.4,8.2,3.6,6.3999999999999995,5.4,3.6,6.2,6.2,8.2,10.8
00160,1.8,4.4,3.6,0.0,0.0,6.3999999999999995,0.0,1.8,4.6,7.4,6.3999999999999995,6.3999999999999995,3.6,5.4
00161,3.6,5.2,2.6,0.0,0.0,5.2,0.0,7.8,13.2,14.0,9.8,9.8,11.200000000000001,8.0
00162,0.8,1.6,4.6,0.0,1.8,7.2,0.0,5.4,8.2,8.0,0.0,8.4,9.4,1.8
00163,2.6,0.0,2.6,9.0,4.2,8.2,0.0,2.6,0.0,10.0,0.0,6.3999999999999995,3.6,0.0
00164,2.0,9.4,7.6000000000000005,0.0,1.0,4.8,0.0,7.2,3.6,8.2,1.8,7.8,6.0,7.2
00165,4.6,3.8000000000000003,11.0,0.0,0.0,3.6,0.0,5.4,11.0,8.0,1.8,10.0,4.2,5.4
00166,6.6,4.8,9.4,5.4,11.8,5.6000000000000005,0.0,5.2,4.6,10.200000000000001,8.2,3.6,3.8000000000000003,1.8
00167,1.8,1.8,7.2,0.0,0.0,4.4,0.0,1.8,7.6000000000000005,3.6,0.0,10.4,0.0,6.3999999999999995
00168,1.8,1.8,4.6,0.0,0.0,8.2,0.0,3.6,7.2,6.2,7.8,7.0,8.0,6.3999999999999995
00169,4.6,6.3999999999999995,5.4,1.0,1.8,9.4,2.8000000000000003,0.0,3.4,8.8,1.6,5.4,1.8,1.8
00170,2.8000000000000003,0.0,4.6,0.0,3.6,0.0,0.0,0.0,7.4,6.0,2.6,5.6000000000000005,2.0,0.0
00171,2.6,3.8000000000000003,2.8000000000000003,7.2,1.8,3.8000000000000003,0.0,4.6,9.8,10.0,1.8,8.4,1.0,2.0
00172,1.8,0.0,2.8000000000000003,0.0,1.0,3.8000000000000003,0.0,1.0,0.0,5.4,1.8,5.4,6.3999999999999995,0.0
00173,1.0,1.8,1.8,1.8,0.8,10.8,0.0,5.4,3.6,11.600000000000001,1.8,6.3999999999999995,11.0,1.8
00175,1.8,1.8,1.8,4.6,4.6,9.0,1.8,0.0,6.0,4.8,3.6,7.2,3.8000000000000003,0.0
00176,2.8000000000000003,1.8,5.4,1.0,4.6,8.0,0.0,1.8,0.0,3.6,0.0,6.6,5.2,0.0
00177,5.4,7.0,4.4,0.0,0.0,2.6,0.0,2.8000000000000003,4.6,5.4,0.0,2.8000000000000003,4.4,0.0
00178,1.0,1.8,3.6,0.0,0.0,5.4,3.6,0.0,6.2,7.8,0.0,7.4,1.8,0.8
00179,4.4,3.6,4.6,0.0,1.8,4.6,0.0,3.6,2.6,5.4,0.0,8.0,9.6,6.6
00180,2.6,1.8,4.4,0.0,1.8,5.6000000000000005,0.0,9.0,1.8,5.4,0.0,8.0,0.0,13.6
00181,3.8000000000000003,2.8000000000000003,4.6,0.0,8.4,4.6,0.0,6.2,4.2,5.4,0.0,2.0,5.2,3.6
00182,2.0,0.0,5.6000000000000005,1.8,3.6,3.6,0.0,3.4,9.0,5.6000000000000005,7.2,8.4,1.8,3.8000000000000003
00183,1.8,2.6,3.6,8.8,11.600000000000001,3.6,0.0,1.8,12.4,6.0,0.8,3.4,6.0,0.0
00184,4.6,3.6,8.2,0.0,10.0,6.3999999999999995,8.2,1.8,12.6,12.0,0.0,6.6,10.8,7.2
00185,6.8,5.800000000000001,7.6000000000000005,2.8000000000000003,5.4,5.4,1.8,0.0,4.6,3.8000000000000003,10.8,4.8,6.3999999999999995,0.0
00186,2.8000000000000003,1.8,2.0,0.0,1.0,7.2,0.0,7.6,5.4,8.2,1.8,6.2,6.2,7.2
00187,5.4,6.3999999999999995,6.3999999999999995,0.0,0.0,6.2,0.0,2.8000000000000003,3.0,9.8,0.0,5.2,0.0,2.4000000000000004
00188,3.8000000000000003,0.8,1.8,1.8,4.6,10.200000000000001,0.0,0.0,0.8,8.0,0.0,4.6,3.6,0.0
00189,1.0,1.0,2.8000000000000003,0.0,3.6,4.6,0.0,8.2,11.600000000000001,7.6000000000000005,9.4,2.6,10.4,13.8
00190,2.6,0.8,4.4,0.0,0.0,6.6,0.0,9.0,1.8,4.4,0.0,6.6,3.6,6.0
00191,9.8,4.6,5.4,0.0,0.0,1.0,0.0,4.4,7.4,4.6,1.8,6.3999999999999995,16.2,15.600000000000001
00192,6.6,3.8000000000000003,6.8,1.8,1.8,7.800000000000001,0.0,2.0,7.2,5.4,0.0,8.2,0.8,12.799999999999999
00193,1.8,1.0,4.4,0.0,1.8,7.0,0.0,0.8,3.8000000000000003,5.6000000000000005,3.6,8.2,9.6,0.0
00194,1.0,0.0,2.8000000000000003,2.6,0.8,4.8,0.0,1.0,4.6,3.4,9.0,6.6,1.0,1.0
00195,1.0,3.8000000000000003,4.6,1.8,1.0,1.6,0.0,0.0,4.6,4.4,3.6,8.0,2.6,0.0
00196,1.0,5.4,2.8000000000000003,1.8,0.0,4.2,0.0,5.6000000000000005,14.6,5.4,3.8000000000000003,5.4,9.4,3.6
00197,6.2,4.6,3.6,0.0,8.8,8.4,0.0,8.0,11.200000000000001,6.2,4.6,6.3999999999999995,10.4,2.0
00198,1.8,1.0,8.2,1.8,1.0,4.8,0.0,0.0,5.4,11.8,4.2,7.4,8.2,6.8
00199,2.8000000000000003,3.0,0.8,0.0,6.3999999999999995,7.2,2.6,0.0,0.0,9.0,1.8,9.0,4.6,1.8
00200,2.6,3.4,5.4,5.2,0.0,9.8,0.0,0.0,0.0,9.0,0.0,2.4000000000000004,1.8,0.0
00201,2.6,4.4,4.4,0.0,0.0,4.4,0.0,6.3999999999999995,7.2,8.0,0.8,10.0,3.6,3.0
00202,2.0,2.6,4.4,0.0,1.0,4.6,3.6,7.2,5.4,9.2,5.4,7.6000000000000005,12.4,10.0
00203,1.8,1.0,1.8,0.0,5.4,7.4,1.8,0.0,5.4,2.6,0.8,7.4,2.0,0.0
00204,2.8000000000000003,1.8,4.6,0.0,3.6,1.8,0.0,0.0,3.0,1.8,2.8000000000000003,7.4,7.8,0.0
00205,0.0,0.8,0.8,1.8,3.6,5.0,0.0,1.6,10.8,4.4,2.8000000000000003,7.2,0.0,0.0
00206,1.8,1.8,4.4,1.8,3.8000000000000003,6.3999999999999995,0.0,0.0,9.8,6.0,2.6,12.4,11.8,5.4
00207,1.8,2.8000000000000003,5.4,1.8,5.6000000000000005,2.6,0.0,0.0,3.0,8.2,3.6,5.2,1.0,0.0
00208,4.4,3.4,3.6,0.0,0.0,9.8,0.0,0.0,5.4,8.0,0.8,8.8,1.8,15.200000000000001
